# 2021 RORC Mainseries IRC Three - Morgan Cup Race (Fri 11 Jun 21 18:10:00) - 30 boats - https://www.rorc.org/raceresults/2021/three05.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR112X,Xanaboo,J/112e,Bruce Huber,,12 Jun - 14:06:41,19:56:41,1.046,20:51:44,
2,94,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,Rob Craigie & Deb Fish,12 Jun - 14:44:32,20:34:32,1.040,21:23:55,
3,90,GBR6890R,Gentoo,Sun Fast 3300,James Harayda,James Harayda & Dee Caffari,12 Jun - 15:03:02,20:53:02,1.026,21:25:37,
4,86,USA61287,Sea Bear,Sun Fast 3300,Peter Bacon,Peter & Duncan Bacon,12 Jun - 15:11:35,21:01:35,1.028,21:36:54,
5,83,GBR5176L,Aries,Sun Fast 3300,Kelvin Rawlings,Kelvin Rawlings & Stuart Childerley,12 Jun - 15:17:56,21:07:56,1.023,21:37:06,
6,80,GBR6502L,Wild Pilgrim,Sun Fast 3300,Daniel Jones,Daniel Jones & Jon Tyrrell,12 Jun - 15:10:42,21:00:42,1.030,21:38:31,
7,78,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,Gavin Howe & Maggie Adamson,12 Jun - 14:48:33,20:38:33,1.049,21:39:14,
8,76,GBR1653R,Ikigai,JPK 1080,Catherine Keohane,,12 Jun - 15:01:11,20:51:11,1.041,21:42:29,
9,74,GBR8936R,Black Sheep,Sun Fast 3600,Trevor Middleton,Jacob Carter,12 Jun - 15:00:47,20:50:47,1.045,21:47:04,
10,72,GBR1815X,Fujitsu British Soldier,Sun Fast 3600,ASA,Graham Iles,12 Jun - 15:03:03,20:53:03,1.044,21:48:11,
11,70,FRA53116,Princesse Gotionude II,Sun Fast 3600,Nicolas Dezeustre,,12 Jun - 15:15:43,21:05:43,1.042,21:58:53,
12,68,SWE450,Emily Of Cowes,Elan 450,Richard Oswald,,12 Jun - 15:18:50,21:08:50,1.047,22:08:28,
13,66,GBR8541R,Jolly Jack Tar,J/109,RNSA,Thomas Reed,12 Jun - 16:02:34,21:52:34,1.013,22:09:38,
14,65,GBR795R,Diablo,Sun Fast 3600,Nick Martin,Nick Martin & Calanach Finlayson,12 Jun - 15:49:49,21:39:49,1.030,22:18:49,
15,64,GBR7581R,Azora,C & C 115,Stephen Thomas,Stephen Thomas & Jerry Freeman,12 Jun - 16:23:31,22:13:31,1.023,22:44:11,
16,63,GBR8529R,Jazzy Jellyfish,J/109,Kevin Armstrong,,12 Jun - 17:38:45,23:28:45,1.008,23:40:01,
17,62,GBR1466R,Flying Jackal,J/109,Wayne Palmer,,12 Jun - 17:58:31,23:48:31,1.008,23:59:57,
18,61,GBR9949T,Fireball,First 40.7,Chris Clark,,12 Jun - 17:10:20,23:00:20,1.049,1 - 00:07:58,
19,60,GBR4688R,Tigris,J/88,Gavin Howe,Alaric Bates & Alex Skinner,12 Jun - 17:37:42,23:27:42,1.029,1 - 00:08:31,
20,59,GBR3737L,Unruly,X 37,Charles Bull,,12 Jun - 17:56:10,23:46:10,1.017,1 - 00:10:25,
21,58.5,GBR8809R,Mojo Risin',J/109,J/109 Racing Limited,Rob Cotterill,12 Jun - 18:15:38,1 - 00:05:38,1.007,1 - 00:15:45,
22,58,GBR833X,Hooligan VIII,Sun Fast 3300,Edward Broadway,Ed Broadway & Nigel Wakefield,12 Jun - 18:07:32,23:57:32,1.029,1 - 00:39:13,
23,57.5,GBR7727T,Musketeer,First 40.7,Phillip Holroyd Smith,Phillip Holroyd Smith & Nigel Wilson,12 Jun - 18:18:12,1 - 00:08:12,1.031,1 - 00:53:06,
24,57,GBR8140X,Horus,First 40,Justin Philipps,,12 Jun - 19:12:14,1 - 01:02:14,1.039,1 - 02:00:49,
25,56.5,GBR7005R,Trojan,J/109,REYC Offshore Racing,Jason West,12 Jun - 22:43:00,1 - 04:33:00,1.006,1 - 04:43:17,
26,56,GBR1X,Bounce Back,First 40,Steven Goddard,James Dean & Stevie Goddard,12 Jun - 23:01:40,1 - 04:51:40,1.040,1 - 06:00:56,
,10,GBR5318N,Lady J Of Cowes,Oyster 53,Marshall Bailey,,,,1.007,,RET-Retired
,10,GBR8368T,Adelaide Star,Bavaria 44,Commodore Yachting,Tomos Price,,,1.016,,DNF-Did Not Finish
,10,GBR9328T,Intemperance,Sigma 400,Paul & Val Shilling,Paul & Val Shilling,,,1.017,,RET-Retired
,10,GBR1663R,Chilli Pepper,Sun Fast 3300,Jim Driver,Jim & Ellie Driver,,,1.030,,RET-Retired
