# 2021 RORC Mainseries IRC Two - Channel Race (Sat 24 Jul 21 11:10:00) - 15 boats - https://www.rorc.org/raceresults/2021/two09.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,94,GBR1702T,Scarlet Oyster,Oyster 48,Ross Applebey,,25 Jul - 01:20:22,14:10:22,1.057,14:58:50,
2,88,GBR6712R,Dawn Treader,JPK 1180,Ed Bell,,25 Jul - 01:12:42,14:02:42,1.099,15:26:08,
3,84,GBR888X,Sunrise,JPK 1180,Thomas Kneen,Thomas Cheney,25 Jul - 01:14:30,14:04:30,1.097,15:26:25,
4,80,GBR9922T,R&W,J/122,Andy Theobald,,25 Jul - 01:42:00,14:32:00,1.078,15:40:01,
5,77,NED53037,Il Corvo,JPK 1180,Astrid de Vin,Roeland Franssens & Astrid de Vin,25 Jul - 01:39:23,14:29:23,1.088,15:45:53,
6,74,SUI4777,Kali,First 47.7,Swiss Ocean Racing Club,Benedikt Clauberg,25 Jul - 02:01:32,14:51:32,1.072,15:55:43,
7,72,GBR5811R,Jagerbomb,J/111,Paul Griffiths,Paul Griffiths & Paul Molloy,25 Jul - 02:00:00,14:50:00,1.091,16:10:59,
8,70,GBR1859L,Hoeoca Sfida,First 40,PROMOCEAN,Simon Dipple,25 Jul - 02:22:00,15:12:00,1.072,16:17:40,
9,68,GBR3923L,CSORC Merlin,First 40,Sailing Logic,Simon Zavad,25 Jul - 02:22:21,15:12:21,1.075,16:20:47,
10,66,GBR7408R,Arthur,First 40,Sailing Logic,Jim Bennett,25 Jul - 02:29:30,15:19:30,1.070,16:23:52,
11,64,GBR8405R,Olympia's Tigress,First 40,Susan Glenny,,25 Jul - 02:26:06,15:16:06,1.080,16:29:23,
12,62,GBR9536R,Thunder 2,Mills 37,Vladimir Phillips,,25 Jul - 02:26:26,15:16:26,1.093,16:41:40,
13,60,GBR6840R,Lancelot II,First 40,Sailing Logic,Edward Scott,25 Jul - 02:42:44,15:32:44,1.076,16:43:37,
14,59,GBR6593T,Petruchio,First 40.7,Petruchio Ltd,Ray Campion,25 Jul - 03:00:15,15:50:15,1.063,16:50:07,
15,58,GBR112N,J’ouvert,J/112e,Simon Harris,,25 Jul - 03:33:05,16:23:05,1.054,17:16:10,
