# 2021 IRC Two-Handed - La Trinite Cowes Race (Sun 4 Jul 21) - 10 boats - https://www.rorc.org/raceresults/2021/twohanded07.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,80,FRA43907,Aileau,JPK 1080,Olivier Burgaud,Olivier Burgaud & Sylvain Pontu,6 Jul - 08:51:16,1 - 14:46:16,1.041,1 - 16:21:39,
2,74,FRA53114,Adeosys,JPK 1010,L. Menahes,,6 Jul - 11:44:37,1 - 17:39:37,0.997,1 - 17:32:07,
3,70,FRA44379,Santosha,Sun Fast 3200,P. Isoard,,6 Jul - 12:10:29,1 - 18:05:29,0.996,1 - 17:55:23,
4,66,FRA43831,Timeline,JPK 1080,Marc Alperovitch,Marc	Alperovitch & Jerome Huillard,6 Jul - 11:17:29,1 - 17:12:29,1.034,1 - 18:36:33,
5,63,FRA37370,Tagan IV,A31,Alain Duvivier,Alain Duvivier & Marc le Groignec,6 Jul - 13:35:44,1 - 19:30:44,0.987,1 - 18:56:48,
6,60,FRA53197,Mary-3,JPK 1030,Francois Moriceau,Francois Moriceau & Patrice Carpentier,6 Jul - 11:59:04,1 - 17:54:04,1.032,1 - 19:14:31,
7,58,FRA38411,Faribole,JPK 1010,E. Poyet,,6 Jul - 14:57:06,1 - 20:52:06,0.991,1 - 20:27:52,
8,56,FRA53057,Lazy Boy,Sun Fast 3200,Yann Gapais,Yann & Yves Gapais,6 Jul - 15:35:54,1 - 21:30:54,0.997,1 - 21:22:42,
9,54,FRA43683,Tracass,JPK 1010,L. Cadiou,,6 Jul - 16:39:58,1 - 22:34:58,0.996,1 - 22:23:47,
10,52,FRA35916,Logodenn,Sun Fast 3200,E. Tilly,,6 Jul - 23:16:18,2 - 05:11:18,0.982,2 - 04:13:51,
