# 2021 IRC Two-Handed - Rolex Fastnet Race (Sun 8 Aug 21) - 57 boats - https://www.rorc.org/raceresults/2021/twohanded10.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA53128,Léon,JPK 1030,Jean Pierre Kelbert,Aleis Loison & Guillaume Pirouelle,13 Aug - 04:04:11,4 - 15:39:11,1.028,4 - 18:46:46,
2,94,GBR4849R,Swell,Sun Fast 3300,Henry Bomby,Henry Bomby & Shirley Robertson,13 Aug - 03:47:05,4 - 15:22:05,1.036,4 - 19:22:38,
3,90,FRA43907,Aileau,JPK 1080,Olivier Burgaud,Olivier Burgaud & Sylvain Pontu,13 Aug - 04:00:30,4 - 15:35:30,1.041,4 - 20:10:01,
4,86,GBR8956R,Mzungu,Sun Fast 3200,Tony White,Sam White & Sam North,13 Aug - 09:25:19,4 - 21:15:19,0.993,4 - 20:26:04,
5,83,FRA53114,Raphael,JPK 1010,L. Menahes,,13 Aug - 09:20:53,4 - 21:10:53,0.997,4 - 20:49:47,
,82,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,Rob Craigie & Deb Fish,,,1.040,,Points avg Place (5.2) prev sailed races
6,80,FRA35829,Cora,Sun Fast 3200,Nigel Goodhew,Tim Goodhew & Kelvin Matthews,13 Aug - 09:36:56,4 - 21:26:56,0.997,4 - 21:05:48,
7,78,FRA37395,Laudato Si,A31,Regis Vian,Regis Vian & Thierry Milhade,13 Aug - 11:18:29,4 - 23:08:29,0.983,4 - 21:06:58,
8,76,FRA43657,Fleur Du Sud,JPK 1010,Patrick Molitor,Patrick Molitor & Alexis Schenker,13 Aug - 09:24:33,4 - 21:14:33,0.999,4 - 21:07:31,
9,74,FRA44737,Enedis,Sun Fast 3200,Vincent Rigalleau,Vincent & Jacques Rigalleau,13 Aug - 09:49:05,4 - 21:39:05,0.996,4 - 21:10:51,
10,72,GBR958R,Jangada,JPK 1010,Richard Palmer,Richard Palmer & Jeremy Waitt,13 Aug - 11:15:25,4 - 23:05:25,1.002,4 - 23:19:42,
11,70,FRA53239,Axe Sail,J/99,Maxime Mesnil,Max Mesnil & Hugo Feydit,13 Aug - 09:26:58,4 - 21:01:58,1.022,4 - 23:36:27,
12,68,MLT105,Bigfoot,J/105,Robert Nelson,Rob Nelson & Charles Linard,13 Aug - 12:44:13,5 - 00:34:13,0.996,5 - 00:05:17,
13,66,GBR5964R,New Normal,Sun Fast 3300,Thomas Fenemore,Tom Fenemore & Jack Hanslope,13 Aug - 09:36:39,4 - 21:11:39,1.026,5 - 00:14:28,
14,65,GBR7581R,Azora,C&C 115,Stephen Thomas,Stephen Thomas & Jerry Freeman,13 Aug - 10:04:34,4 - 21:39:34,1.023,5 - 00:21:56,
15,64,GBR7933R,Fastrak XII,Sun Fast 3300,Nigel de Quervain Colley,Nigel de Quervain Colley & Mathew Smith,13 Aug - 09:48:12,4 - 21:23:12,1.028,5 - 00:40:25,
16,63,GBR1663R,Chilli Pepper,Sun Fast 3300,Jim Driver,Ellie Driver & Cat Hunt,13 Aug - 09:59:18,4 - 21:34:18,1.028,5 - 00:51:49,
17,62,FRA53197,Mary-3,JPK 1030,Francois Moriceau,Francois Moriceau & Patrice Carpentier,13 Aug - 09:34:45,4 - 21:09:45,1.032,5 - 00:54:42,
18,61,FRA43831,Timeline,JPK 1080,Marc Alperovitch,Marc	Alperovitch & Jerome Huillard,13 Aug - 09:29:20,4 - 21:04:20,1.034,5 - 01:03:10,
19,60,GBR795R,Diablo,Sun Fast 3600,Nick Martin,Nick Martin & Calanach Finlayson,13 Aug - 09:53:12,4 - 21:28:12,1.031,5 - 01:06:42,
