# 2021 IRC Two-Handed - Castle Rock Race (Fri 10 Sep 21) - 12 boats - https://www.rorc.org/raceresults/2021/twohanded11.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,87,GBR9033T,Duff Lite,Corby 25,Gavin Doyle,Gavin Doyle & Alex Piatti,11 Sep - 13:57:12,18:57:12,0.919,17:25:05,
2,81,FRA3333,Shortgood,First Class 10,Renaud Courbon & Emmanuel Winsback,Renaud Courbon & Guillaume Pirouelle,11 Sep - 12:52:58,17:52:58,0.985,17:36:52,
3,77,FRA35829,Cora,Sun Fast 3200,Nigel Goodhew,Tim Goodhew & Kelvin Matthews,11 Sep - 12:50:36,17:50:36,0.997,17:47:23,
4,73,GBR529R,Just So,J/109,David McGough,William McGough & Andrew Jackson,11 Sep - 12:46:13,17:46:13,1.002,17:48:21,
5,70,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,Rob Craigie & Deb Fish,11 Sep - 12:23:32,17:23:32,1.040,18:05:16,
6,67,GBR1663R,Chilli Pepper,Sun Fast 3300,Jim Driver,Ellie Driver & Cat Hunt,11 Sep - 12:44:24,17:44:24,1.028,18:14:12,
7,65,GBR795R,Diablo,Sun Fast 3600,Nick Martin,Nick Martin & Calanach Finlayson,11 Sep - 12:47:07,17:47:07,1.031,18:20:12,
8,63,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,Gavin Howe & Maggie Adamson,11 Sep - 12:29:01,17:29:01,1.049,18:20:25,
9,61,GBR979R,Malice,HOD 35,Mike Moxley,Mike Moxley & Tom Bridge,11 Sep - 13:03:51,18:03:51,1.020,18:25:32,
10,59,GBR4867L,Purple Mist,Sun Fast 3200,Katherine Cope,Rob Nelson & Conrad Manning,11 Sep - 13:27:33,18:27:33,1.001,18:28:39,
11,57,GBR2842L,Sun Kosi,Sun Fast 3200,Miles Delap,Miles Delap & Keith Oliver,11 Sep - 13:47:51,18:47:51,0.998,18:45:36,
12,55,GBR833X,Hooligan VIII,Sun Fast 3300,Edward Broadway,Ed Broadway & Ian White,11 Sep - 13:56:14,18:56:14,1.029,19:29:11,
