# Roschier Baltic Sea Race - FinRating Overall - Roschier Baltic Sea Race (Thu 21 Jul 22) - 12 boats - https://www.rorc.org/raceresults/2022/balticrace-finov01.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,87,SWE247,Team Mobline,,Paer Lindfors,,26 Jul - 08:12:04,4 - 13:32:04,0.8916,4 - 01:39:39,
2,81,FIN3992,Silver Moon II,,Salla Kaven,,26 Jul - 12:58:44,4 - 18:18:44,0.8901,4 - 05:44:58,
3,77,GER7007,Störtebeker,,Hamburgischer Verein Seefahrt e.V.,,24 Jul - 23:57:24,3 - 04:57:24,1.3325,4 - 06:32:41,
4,73,SWE412,Wetjob,,Niclas Heurlin,,25 Jul - 09:16:13,3 - 14:26:13,1.1905,4 - 06:54:11,
5,70,FIN709,Irie,,Julius Haartti & Sanna Moliis,,26 Jul - 07:15:31,4 - 12:35:31,0.9843,4 - 10:53:13,
6,67,NOR15731,Enderpearl,,Kenneth Bjoerklund,,25 Jul - 01:22:42,3 - 06:22:42,1.3684,4 - 11:15:10,
7,65,FIN11449,Xtra Staerk,,Arto Linnervuo,,25 Jul - 17:48:36,3 - 22:58:36,1.1324,4 - 11:33:06,
8,63,FIN6344,Tokka-Lotta,,Henri Reivolahti,,26 Jul - 08:23:49,4 - 13:43:49,0.9824,4 - 11:47:56,
9,61,FIN15476,Kind Of Magic,,Ilmari Absetz,,26 Jul - 06:33:47,4 - 11:53:47,1.0264,4 - 14:44:41,
10,59,FIN8741,Carissa,,Raija Alapeteri,,26 Jul - 13:39:04,4 - 18:59:04,1.0337,4 - 22:51:34,
11,57,FIN13004,Rush,,Pasi Uoti,,26 Jul - 05:53:01,4 - 11:03:01,1.1440,5 - 02:27:56,
12,55,POL20180,I Love Poland,,Polish National Foundation,,24 Jul - 19:27:37,3 - 00:27:37,1.7827,5 - 09:10:30,
