# Roschier Baltic Sea Race - IRC Overall - Roschier Baltic Sea Race (Thu 21 Jul 22) - 26 boats - https://www.rorc.org/raceresults/2022/balticrace-ircov01.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FIN3992,Silver Moon II,,Salla Kaven,,26 Jul - 12:58:44,4 - 18:18:44,0.884,4 - 05:03:07,
2,94,SWE247,Team Mobline,,Paer Lindfors,,26 Jul - 08:12:04,4 - 13:32:04,0.925,4 - 05:19:10,
3,90,GER7007,Störtebeker,,Hamburgischer Verein Seefahrt e.V.,,24 Jul - 23:57:24,3 - 04:57:24,1.327,4 - 06:07:17,
4,86,GER52,Outsider,,Tilmar Hansen,,24 Jul - 19:43:00,3 - 00:43:00,1.412,4 - 06:40:33,
5,83,NOR15731,Enderpearl,,Kenneth Bjoerklund,,25 Jul - 01:22:42,3 - 06:22:42,1.311,4 - 06:45:14,
6,80,SWE412,Wetjob,,Niclas Heurlin,,25 Jul - 09:16:13,3 - 14:26:13,1.238,4 - 11:00:32,
7,78,FIN11449,Xtra Staerk,,Arto Linnervuo,,25 Jul - 17:48:36,3 - 22:58:36,1.135,4 - 11:47:55,
8,76,EST773,Nola,,Margus Uudam,,26 Jul - 02:29:26,4 - 07:49:26,1.044,4 - 12:23:32,
9,74,FIN709,Irie,,Julius Haartti & Sanna Moliis,,26 Jul - 07:15:31,4 - 12:35:31,0.999,4 - 12:29:00,
10,72,FIN6344,Tokka-Lotta,,Henri Reivolahti,,26 Jul - 08:23:49,4 - 13:43:49,0.991,4 - 12:44:34,
11,70,GBR6712R,Dawn Treader,,Ed Bell,,25 Jul - 21:53:28,4 - 03:03:28,1.098,4 - 12:45:56,
12,68,SWE13,C-me,,Hakan Groenvall,,26 Jul - 00:21:14,4 - 05:31:14,1.093,4 - 14:57:43,
13,66,SWE164,Embla,,Olof Granander,,26 Jul - 05:39:37,4 - 10:59:37,1.054,4 - 16:46:17,
14,65,FIN15476,Kind Of Magic,,Ilmari Absetz,,26 Jul - 06:33:47,4 - 11:53:47,1.049,4 - 17:11:00,
15,64,DEN21,The Spirit,,Anders Lundmark,,26 Jul - 07:15:24,4 - 12:25:24,1.068,4 - 19:47:46,
16,63,GER6880,Edelweiss,,Thomas Reinecke,,25 Jul - 22:39:59,4 - 03:49:59,1.164,4 - 20:12:20,
17,62,FIN10647,Indigo,,Juha Mattila,,26 Jul - 09:53:02,4 - 15:13:02,1.048,4 - 20:33:20,
18,61,NED20002,Boudragon,,Bolsius International bv.,,25 Jul - 05:16:12,3 - 10:16:12,1.431,4 - 21:43:42,
19,60,FIN8741,Carissa,,Raija Alapeteri,,26 Jul - 13:39:04,4 - 18:59:04,1.026,4 - 21:58:27,
20,59,FIN16582,Eira,,Sebastian Gylling,,26 Jul - 06:48:20,4 - 11:58:20,1.093,4 - 22:00:49,
21,58.5,GER8210,MarieJo,,Berthold Brinkmann,,25 Jul - 23:24:21,4 - 04:34:21,1.175,4 - 22:10:22,
22,58,POL20180,I Love Poland,,Polish National Foundation,,24 Jul - 19:27:37,3 - 00:27:37,1.639,4 - 22:45:45,
23,57.5,ESP7,GP Bullhound,,HYPR Ocean Racing,,24 Jul - 20:11:31,3 - 01:11:31,1.636,4 - 23:44:31,
24,57,LTU001,Ambersail 2,,Clarke Murphy,,24 Jul - 20:27:36,3 - 01:27:36,1.648,5 - 01:03:43,
25,56.5,FIN13004,Rush,,Pasi Uoti,,26 Jul - 05:53:01,4 - 11:03:01,1.146,5 - 02:40:47,
,10,FIN6022,Xchiquilla,,Edgars Kvjatkovskis,,,,0.979,,DNF-Did Not Finish
