# 2022 IRC National Championships - IRC 3 - Entries: 14      Races Sailed: 8      Discard: 1 (None) - 14 boats - https://www.rorc.org/raceresults/2022/ircnats-threeos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR4863R,Yes!,JPK 1080,Adam Gosling,,,,1.061,,
,,GBR9091,Jukebox,J/109,John Smart,,,,1.002,,
,,GBR748R,Happy Daize,J/112e,Knight Build Limited,,,,1.051,,
,,GBR3061X,Arcus,A35,John Howell & Paul Newell,,,,1.013,,
,,GBR1250N,Elaine Again,JPK 1010,Mike Bridges,,,,1.007,,
,,GBR4069T,Ziggy,Fun Mod (keel),Kevin Downer,,,,0.871,,
,,GBR347L,Cobra,Beneteau First 34.7,Matt Green & Paul Thomas,,,,0.985,,
,,ESP3090,Cote,Quarter Tonner,Greig City Academy,,,,0.902,,
,,SWE332,Mrs Freckles,Corby 33,Lena Having,,,,1.035,,
,,GBR9824,Njos,Corby 35,Tim Octon,,,,1.033,,
,,GBR979R,Malice,Hod 35,Mike Moxley,,,,1.020,,
,,GBR6899R,Jam,J/99,Wayne Palmer,,,,1.016,,
,,GBR716,Justify,J/80,Ross Bowdler,,,,0.945,,
,,GBR9022T,Touchpaper,Corby 29,David Mallett,,,,0.978,,
