# 2022 IRC National Championships - IRC 2 - Entries: 15      Races Sailed: 8      Discard: 1 (None) - 15 boats - https://www.rorc.org/raceresults/2022/ircnats-twoos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR318X,Fanatic,Cape 31,John Cooper,,,,1.136,,
,,GBR3110X,Jubilee,Cape 31,Tony Dickin,,,,1.133,,
,,GBR314X,Katabatic,Cape 31,Lance Adams,,,,1.132,,
,,IRL3128,Antix,Cape 31,Anthony O Leary,,,,1.134,,
,,GBR42N,La Réponse,Ker 39,Andrew McIrvine,,,,1.136,,
,,GBR8888N,Cobra,King 40,Michael Blair,,,,1.109,,
,,GBR5R,Gelert,Cape 31,James Howells,,,,1.134,,
,,GBR562R,Sailplane,Mat 12,Jean-Eudes Renier & Rob Bottomley,,,,1.127,,
,,GBR313X,Gallivanter III,Cape 31,Chris Noble,,,,1.136,,
,,GBR315X,Jiraffe,Cape 31,Simon Perry,,,,1.134,,
,,GBR317X,Short Echo,Cape 31,Barry Sampson,,,,1.134,,
,,GBR312X,Tokoloshe 4,Cape 31,Michael Bartholomew,,,,1.134,,
,,BEL9852,Ragazza IV,Mills 37,Jan Gabriel,,,,1.079,,
,,GBR1428R,Rogan Josh,First 40,Richard Powell,,,,1.069,,
,,GBR8409R,Galahad Of Cowes,First 40,Ronan Banim,,,,1.073,,
