# 2022 RORC Mainseries IRC Overall - Entries: 394      Races Sailed: 16 (None) - 394 boats - https://www.rorc.org/raceresults/2022/ircoverallos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR958R,Jangada,JPK 1010,Richard Palmer,,,,0.999,,
,,GBR795R,Diablo,Sun Fast 3600,Nick Martin,,,,1.030,,
,,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,,,,1.034,,
,,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,,,,1.052,,
,,GBR1663R,Chilli Pepper,Sun Fast 3300,Jim Driver,,,,1.031,,
,,GBR1815X,Fujitsu British Soldier,Sun Fast 3600,ASA,,,,1.046,,
,,USA61287,Sea Bear,Sun Fast 3300,Peter Bacon,,,,1.029,,
,,GBR9779T,JAGO,J/109,Mike Yates,,,,1.006,,
,,FRA35829,Cora,Sun Fast 3200,Nigel Goodhew,,,,0.998,,
,,GBR8809R,Mojo Risin',J/109,J/109 Racing Limited,,,,1.008,,
,,GBR26R,Morning After,S&S 34,Stuart Greenfield,,,,0.935,,
,,GBR2664R,Darkwood,J/121,Michael O'Donnell,,,,1.116,,
,,GBR942R,Bulldog,J/122,Derek Shakespeare,,,,1.081,,
,,GBR6502L,Wild Pilgrim,Sun Fast 3300,Daniel Jones,,,,1.030,,
,,GBR4921R,Ino XXX,HH42,James Neville,,,,1.265,,
,,GBR9473R,Rockit,Sun Fast 3300,Nigel de Quervain Colley,,,,1.034,,
,,GBR4867L,Purple Mist,Sun Fast 3200,Katherine Cope,,,,0.999,,
,,GBR6779R,Kestrel,Sun Fast 3300,Simon Bamford,,,,1.031,,
,,GBR888X,Sunrise,JPK 1180,Thomas Kneen,,,,1.100,,
,,CAY007,Comanche,Vplp/Verdier 100 Super Maxi,Comanche Racing,,,,2.017,,
,,GBR562R,Sailplane,Mat 12,Jean-Eudes Renier & Rob Bottomley,,,,1.126,,
,,FRA43857,L'Ange De Milon,Milon 41,Jacques Pelletier,,,,1.116,,
,,GBR597R,Itma,X-50 Classic,Thomas Scott,,,,1.109,,
,,GBR979R,Malice,HOD 35,Mike Moxley,,,,1.020,,
,,GBR3875X,Phosphorus II,A13,Mark Emerson,,,,1.176,,
,,GBR8541R,Jolly Jack Tar,J/109,RNSA,,,,1.010,,
,,FRA8668,Teasing Machine,NMYD 54,Eric de Turckheim,,,,1.380,,
,,GBR8936R,Black Sheep,Sun Fast 3600,Trevor Middleton,,,,1.046,,
,,ESP11,Telefonica Black,Volvo Open 70,Lance Shepherd,,,,1.608,,
,,POL20180,I Love Poland,Volvo Open 70,Polish National Foundation,,,,1.639,,
,,GBR4436L,Mzungu!,JPK 1080,Tony White,,,,1.039,,
,,GBR833X,Hooligan VIII,Sun Fast 3300,Edward Broadway,,,,1.030,,
,,GBR1583R,Asgard,Sun Fast 3300,Ross Farrow,,,,1.030,,
,,GBR6890R,Red Ruby,Sun Fast 3300,Christina Wolfe,,,,1.026,,
,,GBR2842L,Sun Kosi,Sun Fast 3200,Miles Delap,,,,0.994,,
,,GBR1653R,Ikigai,JPK 1080,Catherine Keohane,,,,1.040,,
,,GBR2095R,Surf,Sun Fast 3300,Adrian Dyball,,,,1.030,,
,,LAT909,Orange Mecanix2,XP 44,Sport Nautique Club,,,,1.129,,
