# 2022 RORC Mainseries Multihull - RORC Caribbean 600 Race (Mon 21 Feb 22 11:30:00) - 10 boats - https://www.rorc.org/raceresults/2022/multihull03.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,80,ITA55,Maserati,Multi 70,Giovanni Soldini,,22 Feb - 17:20:57,1 - 05:50:57,2.198,2 - 17:36:30,
2,74,USA128,Argo,Mod 70,Jason Carroll,,22 Feb - 17:18:44,1 - 05:48:44,2.206,2 - 17:45:57,
3,70,FRA35,Groupe Gca-1001 Sourires,Vplp Design,Gilles Lamire,,23 Feb - 05:23:10,1 - 17:53:10,1.696,2 - 23:02:20,
4,66,CAY70,Powerplay,Mod 70,PowerPlay Ltd,Peter Cunningham,22 Feb - 19:40:36,1 - 08:10:36,2.229,2 - 23:43:18,
5,63,GBR1965M,Club 5 Oceans,Orc50,Baltarama Ltd,Quentin le Nabour,24 Feb - 02:40:19,2 - 15:10:19,1.312,3 - 10:52:54,
6,60,FRA888,Guyader Saveol,Ts5,Christian Guyader & Bart Vanhaverbeke,Christian Guyader,24 Feb - 02:29:58,2 - 14:59:58,1.324,3 - 11:24:41,
7,58,FRA80,Ultim’emotion 2,Maxi Multihull,Antoine Rabaste,Jacek Siwek,23 Feb - 02:43:43,1 - 15:13:43,2.246,3 - 16:06:27,
8,56,ITA191M,Minimole,Neel 47,Aldo Fumagalli,,25 Feb - 11:58:31,4 - 00:28:31,1.061,4 - 06:21:37,
,10,GBR0,Selika,Ocean Explorer 72,Seatrax Ltd,Andrew Bland,,,1.251,,DNF-Did Not Finish
,10,FRA53255,Banzai,Ts42,Vincent Willemart,,,,1.277,,DNF-Did Not Finish
