# 2022 North Sea Race - ORC 2 - North Sea Race (Fri 27 May 22) - 12 boats - https://www.rorc.org/raceresults/2022/nsr-orc201.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,87,GBR3742L,Eau-J,J/109,Martijn Graafmans,Martijn Graafmans & Diederik Forma,28 May - 14:44:04,1 - 03:04:04,0.9638,1 - 02:05:17,
2,81,NED9375,Jongeheer,J-99,Paul Manuel,Paul Manuel & Huib Bannier,28 May - 15:09:20,1 - 03:29:20,0.9717,1 - 02:42:39,
3,77,GBR362,Extra Djinn,X-362 Sport,Michel Dorsman,,28 May - 15:24:17,1 - 03:34:17,0.9899,1 - 03:17:35,
4,73,NED9102,Narwal,J/112e,Ubbo Neisingh,,28 May - 14:40:11,1 - 02:40:11,1.0293,1 - 03:27:04,
5,70,NED8730,Mare,Dufour 425 Gl,Rene Klaassen,,28 May - 16:37:44,1 - 04:57:44,0.9572,1 - 03:43:22,
6,67,NED8703,Silver,Salona 37,Marcel Polderman,Marcel & Martine Polderman,28 May - 16:27:04,1 - 04:47:04,0.9689,1 - 03:53:21,
7,65,NED101,Sailselect,Varianta 37,Jeroen Koninkx,,28 May - 16:40:34,1 - 04:40:34,0.9802,1 - 04:06:30,
8,63,NED7307,Rosetta,Dehler 36 JV,Radboud Crul,,28 May - 16:14:19,1 - 04:24:19,0.9938,1 - 04:13:45,
9,61,NED7800,Arethusa,J/109,Kees Mijs,,28 May - 16:13:54,1 - 04:23:54,1.0015,1 - 04:26:27,
10,59,BEL222,Gente DI Mare,Grand Soleil 40c,Roel Ysewyn,Roel Ysewyn & Tom Jonghe,28 May - 17:18:30,1 - 05:38:30,0.9712,1 - 04:47:17,
11,57,GBR8876T,Panther,J/105,Michael Rietz,,28 May - 17:20:10,1 - 05:20:10,0.9881,1 - 04:59:13,
,10,NED9105,Kobaia,Malango 10.45,Bart Verburg,,,,1.0037,,DNF-Did Not Finish
