# 2022 RORC Mainseries IRC One - Rolex Middle Sea Race 2021 (Sat 23 Oct 21) - 36 boats - https://www.rorc.org/raceresults/2022/one01.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR888X,Sunrise,JPK 1180,Thomas Kneen,,26 Oct - 11:52:19,3 - 00:22:19,1.099,3 - 07:32:12,
2,94,GBR555N,Rossko Racer,JPK 1180,,,26 Oct - 19:51:13,3 - 08:21:13,1.096,3 - 16:04:03,
3,90,GBR1322,Joy-Spartivento,J/122,,,26 Oct - 22:17:53,3 - 10:47:53,1.066,3 - 16:15:46,
4,86,MLT450,Elusive 2,Beneteau First 45,,,26 Oct - 19:19:56,3 - 07:39:56,1.113,3 - 16:40:04,
5,83,SWE69,Blur,J/111,,,26 Oct - 21:05:57,3 - 09:35:57,1.095,3 - 17:21:04,
6,80,GBR562R,Sailplane,Matt 12,Jean-Eudes Renier & Rob Bottomley,,26 Oct - 18:56:25,3 - 07:16:25,1.131,3 - 17:39:30,
7,78,RUS1000,Buran,J/122e,,,26 Oct - 22:02:10,3 - 10:32:10,1.089,3 - 17:52:55,
8,76,ITA16677,Tevere Remo Mon Ile,First 40,,,26 Oct - 21:21:38,3 - 09:51:38,1.099,3 - 17:57:53,
9,74,GBR7122X,Juno,J/122e,Christopher Daniel,,26 Oct - 22:05:00,3 - 10:35:00,1.091,3 - 18:05:54,
10,72,FRA9687,Noisy Oyster,J/122,,,26 Oct - 23:43:08,3 - 12:13:08,1.074,3 - 18:27:04,
11,70,FRA27967,Jivaro,J/133,,,26 Oct - 22:19:44,3 - 10:49:44,1.094,3 - 18:36:53,
12,68,GBR6053L,Ballytrim,Swan 53,,,26 Oct - 22:49:47,3 - 11:19:47,1.093,3 - 19:04:46,
13,66,GBR4669R,Pata Negra,Lombard 46,Andrew Hall,,26 Oct - 18:33:47,3 - 06:53:47,1.155,3 - 19:07:31,
14,65,MLT274,Ton Ton Laferla,Dufour 44P,,,26 Oct - 22:26:52,3 - 10:46:52,1.104,3 - 19:23:25,
15,64,FRA43857,L'Ange De Milon,Milon 41,Jacques Pelletier,,26 Oct - 21:42:05,3 - 10:02:05,1.118,3 - 19:42:53,
16,63,FRA9845,Yagiza,Beneteau First 53,,,26 Oct - 19:00:11,3 - 07:20:11,1.163,3 - 20:16:06,
17,62,ITA15001,Ars Una,Adria FY49,,,26 Oct - 19:43:08,3 - 08:03:08,1.162,3 - 21:01:14,
18,61,F45,Sirene,JPK 45,,,26 Oct - 20:58:39,3 - 09:18:39,1.148,3 - 21:20:41,
19,60,ROU042,Setsail,Swan 42CS,,,26 Oct - 20:02:13,3 - 08:22:13,1.164,3 - 21:33:04,
20,59,NED53,Silveren Swaen,Swan 53,,,27 Oct - 00:26:18,3 - 12:46:18,1.114,3 - 22:26:08,
21,58.5,AUT2895,Lunz Am Meer,Swan 651,,,26 Oct - 20:24:43,3 - 08:44:43,1.170,3 - 22:28:19,
22,58,FRA35998,Encounter,Frers 53,,,27 Oct - 00:05:14,3 - 12:25:14,1.124,3 - 22:53:19,
23,57.5,ITA14013,Muzyka²,X-442,,,27 Oct - 03:51:00,3 - 16:11:00,1.085,3 - 23:40:44,
24,57,DEN1250,Galbula,X-562,,,26 Oct - 21:32:10,3 - 09:52:10,1.172,3 - 23:57:04,
25,56.5,GRE1918,Artemis,X-46,,,27 Oct - 03:48:39,3 - 16:18:39,1.097,4 - 00:52:37,
26,56,FRA43769,Baradoz,Pogo 12.50,,,27 Oct - 04:00:00,3 - 16:20:00,1.153,4 - 05:50:54,
27,55.5,BEL6669,Blackfish,J&V 39,,,27 Oct - 07:45:10,3 - 20:05:10,1.120,4 - 07:08:11,
28,55,GBR2742R,Atame,Fast 42,,,27 Oct - 12:09:58,4 - 00:39:58,1.074,4 - 07:49:10,
29,54.5,POL12218,Hobart,Dehler 41,,,27 Oct - 14:23:36,4 - 02:53:36,1.172,4 - 19:54:11,
,10,ITA14689,Renoir,GS 40,,,,,1.060,,DNF-Did Not Finish
,10,CRO1338,Match Point,Bavaria 42 match,,,,,1.066,,DNF-Did Not Finish
,10,ITA15145,Libertine,Comet 45 R,,,,,1.115,,DNF-Did Not Finish
,10,MLT044,Xpresso,XP 44,,,,,1.125,,DNF-Did Not Finish
,10,GRE1916,Abbyy Antelope,XP 44,,,,,1.128,,DNF-Did Not Finish
,10,K1220,Kings' Legend,Swan 65,,,,,1.132,,DNF-Did Not Finish
,10,ITA17540,Preferisco,Azuree 4o,,,,,1.156,,DNF-Did Not Finish
