# 2022 RORC Mainseries IRC One - De Guingand Bowl Race (Sat 14 May 22 10:00:00) - 13 boats - https://www.rorc.org/raceresults/2022/one05.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,90,GBR942R,Bulldog,J/122,Derek Shakespeare,,15 May - 02:15:41,16:15:41,1.081,17:34:43,
2,84,FRA78,Sl Energies_groupe Fastwave,J/111,Laurent Charmy,,15 May - 02:16:36,16:16:36,1.085,17:39:37,
3,80,GBR2664R,Darkwood,J/121,Michael O'Donnell,,15 May - 01:54:08,15:54:08,1.114,17:42:54,
4,76,GBR597R,Itma,X-50 Classic,Thomas Scott,Simon Lambert,15 May - 02:12:58,16:12:58,1.109,17:59:01,
5,73,GBR8409R,Galahad Of Cowes,First 40,Ronan Banim,,15 May - 02:59:54,16:59:54,1.073,18:14:21,
6,70,GBR6840R,Lancelot II,First 40,Sailing Logic,Cameron Ferguson,15 May - 03:17:35,17:17:35,1.071,18:31:15,
7,68,GBR7951R,Skylander,First 40,Capstan Sailing,Jordan Billiald,15 May - 03:17:10,17:17:10,1.075,18:34:57,
8,66,GBR4724L,Greylag,Pogo 36,Richard Hargreaves,Richard Hargreaves & Craig Nutter,15 May - 02:52:44,16:52:44,1.123,18:57:18,
9,64,GBR7408R,Arthur,First 40,Jim Bennett,,15 May - 03:53:04,17:53:04,1.066,19:03:53,
10,62,GBR684,Quailo III,Nicholson 55,Andrew Tseng,,15 May - 04:33:43,18:33:43,1.071,19:52:47,
11,60,SUI4777,Kali,First 47.7,Swiss Ocean Racing Club,Marc Nufer,15 May - 08:37:00,22:37:00,1.071,1 - 00:13:21,
12,58,GBR4018N,Jazz,First 40,LCSC,Ray Campion,15 May - 09:39:06,23:39:06,1.066,1 - 01:12:46,
13,56,GBR4019N,Tango,First 40,LCSC,Mitchel Fowler,15 May - 10:43:01,1 - 00:43:01,1.067,1 - 02:22:23,
