# 2022 RORC Mainseries IRC One - Myth of Malham Race (Thu 2 Jun 22 13:20:00) - 13 boats - https://www.rorc.org/raceresults/2022/one07.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,90,GBR6712R,Dawn Treader,JPK 1180,Ed Bell,,3 Jun - 22:27:39,1 - 09:07:39,1.098,1 - 12:22:26,
2,84,GBR2664R,Darkwood,J/121,Michael O'Donnell,,3 Jun - 22:23:27,1 - 09:03:27,1.114,1 - 12:49:34,
3,80,GBR942R,Bulldog,J/122,Derek Shakespeare,,3 Jun - 23:26:14,1 - 10:06:14,1.081,1 - 12:51:59,
4,76,GBR562R,Sailplane,Mat 12,Jean-Eudes Renier & Rob Bottomley,,3 Jun - 22:19:06,1 - 08:59:06,1.127,1 - 13:10:27,
5,73,FRA38568,Pintia,J/133,Gilles Fournier / Corinne Migraine,Gilles Fournier,4 Jun - 00:13:15,1 - 10:53:15,1.086,1 - 13:53:16,
6,70,LAT909,Orange Mecanix2,XP 44,Sport Nautique Club,Maxime de Mareuil,3 Jun - 23:07:05,1 - 09:47:05,1.129,1 - 14:08:35,
7,68,GBR597R,Itma,X-50 Classic,Thomas Scott,Simon Lambert,4 Jun - 00:24:32,1 - 11:04:32,1.109,1 - 14:53:56,
8,66,GBR390X,Xanaboo,JND 39,Bruce Huber,,4 Jun - 00:26:56,1 - 11:06:56,1.115,1 - 15:09:14,
9,64,GBR6840R,Lancelot II,First 40,Sailing Logic,Cameron Ferguson,4 Jun - 02:24:43,1 - 13:04:43,1.071,1 - 15:42:40,
10,62,GBR8409R,Galahad Of Cowes,First 40,Ronan Banim,,4 Jun - 02:23:32,1 - 13:03:32,1.073,1 - 15:45:51,
11,60,GBR9922T,R&W,J/122,Andy Theobald,,4 Jun - 02:26:44,1 - 13:06:44,1.081,1 - 16:07:06,
12,58,GBR7408R,Arthur,First 40,Jim Bennett,,4 Jun - 02:58:42,1 - 13:38:42,1.066,1 - 16:07:46,
13,56,GBR4019N,Tango,First 40,LCSC,Mitchel Fowler,4 Jun - 03:44:16,1 - 14:24:16,1.067,1 - 16:58:39,
