# 2022 RORC Mainseries IRC Superzero - Rolex Middle Sea Race 2021 (Sat 23 Oct 21) - 10 boats - https://www.rorc.org/raceresults/2022/superzero01.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,80,CAY007,Comanche,Vplp/Verdier 100 Super Maxi,Comanche Racing,Mitch Booth,25 Oct - 02:59:54,1 - 14:49:54,2.022,3 - 06:31:03,
2,74,USA25555,Rambler,Canting Keel Maxi,,,25 Oct - 09:28:43,1 - 21:18:43,1.863,3 - 12:24:58,
3,70,MON001,Skorpios,Clubswan 125,Dmitry Rybolovlev,Fernando Echavarri,25 Oct - 04:13:39,1 - 16:03:39,2.149,3 - 14:05:27,
4,66,POL20180,I Love Poland,Volvo Open 70,Polish National Foundation,Grzegorz Baranowski,25 Oct - 23:03:49,2 - 10:53:49,1.638,4 - 00:28:24,
5,63,LTU001,Ambersail II,VO65,JSC GAMINTA,Saulius Pajarskas,25 Oct - 23:59:49,2 - 11:49:49,1.675,4 - 04:12:57,
6,60,AUT1,Sisi,VO65,Austrian Ocean Race Project,Gerwin Jansen,26 Oct - 01:57:53,2 - 13:47:53,1.632,4 - 04:51:16,
7,58,EUR005,Way Of Life,Reichel/Pugh,,,26 Oct - 00:18:26,2 - 12:08:26,1.705,4 - 06:32:23,
8,56,MEX1,Viva Mexico,VO 65,,,26 Oct - 05:17:17,2 - 17:07:17,1.674,4 - 13:00:48,
,10,ESP11,Telefonica Black,Volvo Open 70,Lance Shepherd,,,,1.609,,DNF-Did Not Finish
,10,ESP7,Hypr,Volvo Open 70,HYPR Ocean Racing,Jens Lindner,,,1.638,,DNF-Did Not Finish
