# 2022 RORC Mainseries IRC Three - Cervantes Trophy Race (Sat 30 Apr 22 08:00:00) - 14 boats - https://www.rorc.org/raceresults/2022/three04.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,92,FRA35829,Cora,Sun Fast 3200,Nigel Goodhew,Tim Goodhew & Kelvin Matthews,22:44:01,14:44:01,0.998,14:42:15,
2,86,GBR958R,Jangada,JPK 1010,Richard Palmer,Richard Palmer & Rupert Holmes,23:13:11,15:13:11,0.999,15:12:16,
3,82,GBR8541R,Jolly Jack Tar,J/109,RNSA,Henry Wilson,23:21:00,15:21:00,1.012,15:32:03,
4,78,IRL8088,Jedi,J/109,Anthony Tahourdin,,23:34:11,15:34:11,1.006,15:39:47,
5,75,GBR8809R,Mojo Risin',J/109,J/109 Racing Limited,Rob Cotterill,1 May - 00:53:16,16:53:16,1.008,17:01:22,
6,72,GBR4867L,Purple Mist,Sun Fast 3200,Katherine Cope,Kate Cope & Conrad Manning,1 May - 01:23:35,17:23:35,0.999,17:22:32,
7,70,IOM7003,Polished Manx II,First 40.7,Kuba Szymanski,Kuba Szymanski & Adrian Kucmin,1 May - 10:20:10,1 - 02:20:10,1.018,1 - 02:48:37,
,10,GBR9779T,Jago,J/109,Mike Yates,Mike Yates & Mike Stannard,,,1.006,,DNS-Did Not Start
,10,GBR9203R,Wee Bear,Projection 920,Nick Lee,Nick Lee & Kate Woodward,,,0.985,,DNF-Did Not Finish
,10,FRA21717,Whisper,Jpk 1010,Franck Ribot,,,,0.986,,DNF-Did Not Finish
,10,GBR2904L,Hot Pursuit,Sun Fast 3200,Jerry Freeman,Jerry Freeman & Andy Etherington,,,0.991,,DNF-Did Not Finish
,10,GBR2842L,Sun Kosi,Sun Fast 3200,Miles Delap,Miles Delap & Keith Oliver,,,0.994,,DNF-Did Not Finish
,10,FRA15083,Maupiti,Jod 35,Emmanuel Bunel,,,,0.999,,DNF-Did Not Finish
,10,GBR4489R,Finnish Line,Swan 44 Mk II,Janet Hairsine Wilson,Michael Wilson,,,1.017,,DNF-Did Not Finish
