# 2022 RORC Mainseries IRC Three - Cowes Dinard St Malo Race (Fri 8 Jul 22 08:00:00) - 25 boats - https://www.rorc.org/raceresults/2022/three11.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA43510,Numerobis,JPK 1010,Regis Vian,Regis Vian & Fabien Delahaye,9 Jul - 12:11:46,1 - 04:11:46,0.998,1 - 04:08:23,
2,94,FRA35829,Cora,Sun Fast 3200,Nigel Goodhew,Tim Goodhew & Kelvin Matthews,9 Jul - 12:13:08,1 - 04:13:08,0.998,1 - 04:09:45,
3,90,GBR9779T,JAGO,J/109,Mike Yates,Mike Yates & Will Holland,9 Jul - 12:09:04,1 - 04:09:04,1.006,1 - 04:19:12,
4,86,FRA39098,Crescendo,JPK 1010,Philippe Sauzieres,Philippe Sauzieres & Guy Delcroix,9 Jul - 12:33:14,1 - 04:33:14,0.993,1 - 04:21:14,
5,83,GBR958R,Jangada,JPK 1010,Richard Palmer,Richard Palmer & Rupert Holmes,9 Jul - 12:25:53,1 - 04:25:53,0.999,1 - 04:24:11,
6,80,GBR529R,Just So,J/109,David McGough,,9 Jul - 12:24:38,1 - 04:24:38,1.001,1 - 04:26:20,
7,78,GBR8809R,Mojo Risin',J/109,J/109 Racing Limited,Rob Cotterill,9 Jul - 12:13:15,1 - 04:13:15,1.008,1 - 04:26:48,
8,76,FRA28747,Coriandre Junior,JPK 960,Philippe Reminiac,Marc Noel,9 Jul - 13:03:38,1 - 05:03:38,0.986,1 - 04:39:13,
9,74,FRA53197,Mary-3,JPK 1030,Francois Moriceau,Francois Moriceau & Christophe Waubant,9 Jul - 12:16:04,1 - 04:16:04,1.017,1 - 04:44:54,
10,72,FRA43981,Jambo,J/97 E,Pierre Bouhanna,,9 Jul - 13:11:40,1 - 05:11:40,0.985,1 - 04:45:24,
11,70,FRA53057,Lazy Boy,Sun Fast 3200,Yann Gapais,Yann & Yves Gapais,9 Jul - 12:48:47,1 - 04:48:47,0.999,1 - 04:47:03,
12,68,GBR4867L,Purple Mist,Sun Fast 3200,Katherine Cope,Kate Cope & Conrad Manning,9 Jul - 12:54:02,1 - 04:54:02,0.999,1 - 04:52:18,
13,66,FRA43657,Fleur Du Sud,JPK 1010,Patrick Molitor,Patrick Molitor & Alan Lebreton,9 Jul - 12:57:53,1 - 04:57:53,0.997,1 - 04:52:40,
14,65,MLT105,Bigfoot,J/105,Robert Nelson,Rob Nelson & Ian Dyall,9 Jul - 13:02:14,1 - 05:02:14,0.996,1 - 04:55:16,
15,64,GBR536,Zest,Humphreys 36 Custom,Kathryn Schmitt,Kass Schmitt & Rupert Holmes,9 Jul - 12:57:31,1 - 04:57:31,0.999,1 - 04:55:47,
16,63,FRA53147A,Jin Motion,J/99,Philippe Guennal,,9 Jul - 12:30:05,1 - 04:30:05,1.018,1 - 05:00:52,
17,62,FRA38967,Kia Ora,JPK 1010,Olivier Hays,Olivier Hays & Yann Adam,9 Jul - 13:04:04,1 - 05:04:04,0.999,1 - 05:02:19,
18,61,FRA68460,J Venture,J/109,Pierre Delalande,,9 Jul - 12:59:32,1 - 04:59:32,1.005,1 - 05:08:14,
19,60,GBR9760R,Jengu,J/109,William Stock,,9 Jul - 13:08:38,1 - 05:08:38,1.005,1 - 05:17:23,
20,59,GBR2842L,Sun Kosi,Sun Fast 3200,Miles Delap,Miles Delap & Keith Oliver,9 Jul - 13:36:00,1 - 05:36:00,0.994,1 - 05:25:21,
21,58.5,GBR9487R,Jumunu,J/109,Lesley Brooman,,9 Jul - 13:18:49,1 - 05:18:49,1.004,1 - 05:25:51,
22,58,GBR4799R,Jiro,J/99,Mark Kendall,Mark Kendall & Tom Holloway,9 Jul - 13:18:13,1 - 05:18:13,1.010,1 - 05:35:48,
23,57.5,IOM7003,Polished Manx II,First 40.7,Kuba Szymanski,Kuba Szymanski & Lowri Boorman,9 Jul - 13:25:34,1 - 05:25:34,1.018,1 - 05:57:21,
24,57,GBR6908R,White Knight 7,J/109,Royal Armoured Corps Yacht Club,Henry Kemp-Gee,9 Jul - 14:07:26,1 - 06:07:26,1.005,1 - 06:16:28,
25,56.5,GBR6990R,Jolly Jumper,J/99,Jean-Baptiste Brian,,9 Jul - 14:03:55,1 - 06:03:55,1.015,1 - 06:30:59,
