# 2022 RORC Mainseries IRC Two - Rolex Middle Sea Race 2021 (Sat 23 Oct 21) - 19 boats - https://www.rorc.org/raceresults/2022/two01.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,99,FRA53200,Foggy Dew,JPK 1030,,,26 Oct - 21:25:24,3 - 10:05:24,1.025,3 - 12:08:32,
2,93,RUS898,Bogatyr,JPK 1080,,,26 Oct - 21:20:53,3 - 10:00:53,1.041,3 - 13:22:38,
3,89,FRA43853,Solenn For Pure Ocean,JPK 1080,,,26 Oct - 22:50:57,3 - 11:30:57,1.040,3 - 14:51:23,
4,85,GBR8936R,Black Sheep,Sun Fast 3600,Trevor Middleton,,26 Oct - 23:23:13,3 - 12:03:13,1.043,3 - 15:40:04,
5,82,GBR1355R,Lulotte,Swan 55 Yawl,,,27 Oct - 00:35:07,3 - 13:15:07,1.045,3 - 17:05:18,
6,79,MLT7387,Vivace,Reflex 38,,,27 Oct - 02:37:22,3 - 15:17:22,1.024,3 - 17:23:04,
7,77,GBR880X,Rossko,JPK 1080,,,27 Oct - 01:41:53,3 - 14:21:53,1.035,3 - 17:23:15,
8,75,ITA17523,Lima,Giro34,,,27 Oct - 01:44:05,3 - 14:24:05,1.037,3 - 17:35:54,
9,73,USA61344,Kiboko Tatu,Arcona 380,,,27 Oct - 01:38:13,3 - 14:18:13,1.048,3 - 18:26:46,
10,71,MLT407,Openpayd Sekuritance Maltese Falcon II,Beneteau First 40.7,,,27 Oct - 03:43:55,3 - 16:23:55,1.043,3 - 20:11:59,
11,69,CRO2739,Munjek RS,Sun Fast 3300,,,27 Oct - 03:59:59,3 - 16:39:59,1.047,3 - 20:50:01,
12,67,GBR1321L,Escapado,First 40.7,Germaine Williams,Andy Young,27 Oct - 14:53:50,4 - 03:33:50,1.045,4 - 08:02:39,
,10,RUS9901,Space Jockey,J/99,,,,,1.026,,DNF-Did Not Finish
,10,ITA15371,Allegro Appassionato,First 41 S5,,,,,1.028,,DNF-Did Not Finish
,10,BEL1030,Pneuma,JPK 1030,,,,,1.029,,DNF-Did Not Finish
,10,MLT422,Bait,Elan 410,,,,,1.037,,DNF-Did Not Finish
,10,GBR5262L,Carango IV,Baltic 43,,,,,1.039,,DNF-Did Not Finish
,10,ITA17669,Amapola II,Jeanneau Sun Odyssey 4,,,,,1.051,,DNF-Did Not Finish
,10,USA61023,Malemok,Elan 450,,,,,1.059,,DNF-Did Not Finish
