# 2022 RORC Mainseries IRC Two - Myth of Malham Race (Thu 2 Jun 22 13:10:00) - 29 boats - https://www.rorc.org/raceresults/2022/two07.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR4436L,Mzungu!,JPK 1080,Tony White,Sam & Tony White,4 Jun - 00:10:41,1 - 11:00:41,1.040,1 - 12:24:43,
2,94,GBR6890R,Red Ruby,Sun Fast 3300,Christina Wolfe,Christina & Justin Wolfe,4 Jun - 00:53:19,1 - 11:43:19,1.026,1 - 12:39:03,
3,90,FRA53239,Axe Sail,J/99,Maxime Mesnil,Max Mesnil & Hugo Feydit,4 Jun - 01:15:58,1 - 12:05:58,1.020,1 - 12:49:17,
4,86,GBR6502L,Wild Pilgrim,Sun Fast 3300,Daniel Jones,Daniel Jones & Jon Tyrrell,4 Jun - 01:15:54,1 - 12:05:54,1.030,1 - 13:10:53,
5,83,GBR6779R,Kestrel,Sun Fast 3300,Simon Bamford,Simon Bamford & Jerome Carson,4 Jun - 01:11:34,1 - 12:01:34,1.033,1 - 13:12:54,
6,80,GBR795R,Diablo,Sun Fast 3600,Nick Martin,Nick Martin & Calanach Finlayson,4 Jun - 01:07:36,1 - 11:57:36,1.035,1 - 13:13:07,
7,78,GBR1815X,Fujitsu British Soldier,Sun Fast 3600,Donall Ryan,,4 Jun - 00:47:18,1 - 11:37:18,1.046,1 - 13:15:37,
8,76,GBR1663R,Chilli Pepper,Sun Fast 3300,Jim Driver,Jim & Ellie Driver,4 Jun - 01:19:42,1 - 12:09:42,1.032,1 - 13:19:08,
9,74,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,Rob Craigie & Deb Fish,4 Jun - 01:18:16,1 - 12:08:16,1.034,1 - 13:21:59,
10,72,GBR927R,Atomic,Sun Fast 3300,Christopher Agace,,4 Jun - 01:39:40,1 - 12:29:40,1.025,1 - 13:24:25,
11,70,GBR1653R,Ikigai,JPK 1080,Catherine Keohane,,4 Jun - 01:14:33,1 - 12:04:33,1.040,1 - 13:31:08,
12,68,GBR4849R,Bug,Sun Fast 3300,Richard Elliott,Richard Elliott & Alex Piatti,4 Jun - 01:40:08,1 - 12:30:08,1.029,1 - 13:33:39,
13,66,GBR9473R,Rockit,Sun Fast 3300,Shirley Robertson,Shirley Robertson & Dee Caffari,4 Jun - 01:37:43,1 - 12:27:43,1.035,1 - 13:44:17,
14,65,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,Mike O'Donovan & Saoirse Reynolds,4 Jun - 01:07:38,1 - 11:57:38,1.050,1 - 13:45:31,
15,64,USA61287,Sea Bear,Sun Fast 3300,Peter Bacon,Peter Bacon & Antonio Martinez,4 Jun - 01:46:39,1 - 12:36:39,1.032,1 - 13:46:57,
16,63,FRA53116,Princesse Gotionude II,Sun Fast 3600,Nicolas Dezeustre,,4 Jun - 01:24:05,1 - 12:14:05,1.043,1 - 13:47:34,
17,62,GBR7933R,Fastrak XII,Sun Fast 3300,Nigel de Quervain Colley,Nigel de Quervain Colley & Mathew Smith,4 Jun - 02:05:51,1 - 12:55:51,1.030,1 - 14:02:20,
18,61,GBR5964R,New Normal,Sun Fast 3300,Thomas Fenemore,Tom Fenemore & Jack Hanslope,4 Jun - 02:20:26,1 - 13:10:26,1.028,1 - 14:12:53,
19,60,GBR5591L,One Way,Sun Fast 3600,Dan Rigden,David Melville,4 Jun - 02:37:14,1 - 13:27:14,1.033,1 - 14:41:24,
20,59,GBR979R,Malice,HOD 35,Mike Moxley,Mike Moxley & Tom Bridge,4 Jun - 03:13:32,1 - 14:03:32,1.020,1 - 14:49:12,
21,58.5,GBR3759L,Jelenko II,Sun Fast 3600,Jonathan Bevan,Jonathan Bevan & Simon Dipple,4 Jun - 02:53:49,1 - 13:43:49,1.040,1 - 15:14:22,
22,58,GBR8936R,Black Sheep,Sun Fast 3600,Trevor Middleton,,4 Jun - 02:51:32,1 - 13:41:32,1.046,1 - 15:25:34,
23,57.5,GBR6593T,Petruchio,First 40.7,LCSC,Ray Campion,4 Jun - 03:42:04,1 - 14:32:04,1.034,1 - 15:50:41,
24,57,GBR2095R,Surf,Sun Fast 3300,Adrian Dyball,James Harayda,4 Jun - 04:01:31,1 - 14:51:31,1.030,1 - 16:01:28,
25,56.5,GBR1394R,Zephyr,Sun Fast 3300,Simon Toms,,4 Jun - 04:08:16,1 - 14:58:16,1.032,1 - 16:13:05,
26,56,GBR9043T,Flying Fish,First 40.7,Stephen Hendry,Christian Buehrlen,4 Jun - 03:57:42,1 - 14:47:42,1.041,1 - 16:23:08,
27,55.5,FRA53192,Moshimoshi,Sun Fast 3300,Sebastien Saulnier,Sebastien Saulnier & Hadrien Peigne,4 Jun - 07:17:30,1 - 18:07:30,1.028,1 - 19:18:16,
28,55,GBR1476R,Wavetrain,Channel 32 Custom,Gavin Howe,Joe Walters & Evie Herrington,4 Jun - 08:47:30,1 - 19:37:30,1.034,1 - 21:06:30,
,10,GBR1583R,Asgard,Sun Fast 3300,Ross Farrow,Matthew Bird & Oliver Hill,,,1.030,,DNF-Did Not Finish
