# 2022 RORC Mainseries IRC Two - SSE Renewables Round Ireland Race (Sat 18 Jun 22 13:00:00) - 13 boats - https://www.rorc.org/raceresults/2022/two09.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,90,GBR8657L,Bellino,Sunfast 3600,Rob Craigie,Rob Craigie & Deb Fish,23 Jun - 16:20:44,5 - 03:20:44,1.034,5 - 07:32:21,
2,84,IRL2129,NIEULARGO,Grand Soleil 40 B+C,Denis & Annamarie Murphy,,23 Jun - 18:19:32,5 - 05:19:32,1.025,5 - 08:27:31,
3,80,IRL1627,Cinnamon Girl,Sunfast 3300,Cian Mc Carthy,,23 Jun - 18:17:12,5 - 05:17:12,1.026,5 - 08:32:39,
4,76,IRL10800,Rockabill VI,JPK 10.80,Paul O'Higgins,,23 Jun - 16:11:52,5 - 03:11:52,1.051,5 - 09:28:51,
5,73,GBR6502L,Wild Pilgrim,Sunfast 3300,Daniel Jones,Daniel Jones & Jon Tyrrell,23 Jun - 19:09:23,5 - 06:09:23,1.030,5 - 09:56:28,
6,70,IRL3618,YOYO,Sunfast 3600,Graham Curran,,23 Jun - 18:56:21,5 - 05:56:21,1.039,5 - 10:51:03,
7,68,GBR1583R,Asgard,Sunfast 3300,Ross Farrow,Matthew Bird & Oliver Hill,23 Jun - 20:14:19,5 - 07:14:19,1.030,5 - 11:03:21,
8,66,USA74434,Hiro Maru,Sparkman & Stephens,Hiroshi Nakajima,,24 Jun - 01:09:24,5 - 12:09:24,1.037,5 - 17:02:47,
9,64,IRL5991,Prime Suspect,Mills 36,Keith Miller,,24 Jun - 04:34:25,5 - 15:34:25,1.040,5 - 20:59:48,
10,62,IRL7086,Lynx Wild West Sailing,Reflex 38,Cian Mulee,,24 Jun - 06:16:50,5 - 17:16:50,1.047,5 - 23:43:58,
11,60,GBR6939R,Finally,Elan 350,Paul Kitteringham,,24 Jun - 10:28:08,5 - 21:28:08,1.021,6 - 00:26:23,
12,58,GBR3030X,Bijou,Pogo 30,Iain Morton,,24 Jun - 22:03:23,6 - 09:03:23,1.034,6 - 14:15:37,
,10,GBR1815X,Fujutsu British Soldier,Sunfast 3600,Donall Ryan,,,,1.046,,DNF-Did Not Finish
