# 2022 RORC Mainseries IRC Two - Sevenstar Round Britain and Ireland Race (Sun 7 Aug 22 12:10:00) - 11 boats - https://www.rorc.org/raceresults/2022/two15.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,84,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,Rob Craigie & Deb Fish,21 Aug - 22:47:46,14 - 10:37:46,1.035,14 - 22:45:41,
2,78,GBR4436L,Mzungu!,JPK 1080,Tony White,Sam White & Sam North,21 Aug - 22:57:11,14 - 10:47:11,1.039,15 - 00:18:40,
3,74,GBR6502L,Wild Pilgrim,Sun Fast 3300,Daniel Jones,Daniel Jones & Jon Tyrrell,22 Aug - 09:29:48,14 - 21:19:48,1.030,15 - 08:03:00,
4,70,GBR795R,Diablo,Sun Fast 3600,Nick Martin,Nick Martin & Calanach Finlayson,22 Aug - 09:17:46,14 - 21:07:46,1.032,15 - 08:33:27,
5,67,GBR1663R,Chilli Pepper,Sun Fast 3300,Jim Driver,Jim & Ellie Driver,22 Aug - 09:58:14,14 - 21:48:14,1.031,15 - 08:53:45,
6,64,GBR9473R,Rockit,Sun Fast 3300,Shirley Robertson,Shirley Robertson & Dee Caffari,22 Aug - 10:16:00,14 - 22:06:00,1.034,15 - 10:16:31,
7,62,GBR1815X,Fujitsu British Soldier,Sun Fast 3600,ASA,Philip Caswell,22 Aug - 06:47:44,14 - 18:37:44,1.046,15 - 10:56:31,
8,60,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,Gavin Howe & Maggie Adamson,22 Aug - 09:57:27,14 - 21:47:27,1.052,15 - 16:23:45,
,10,GBR7933R,Fastrak XII,Sun Fast 3300,Nigel de Quervain Colley,Nigel Colley & David Bowdler,,,1.027,,DNF-Did Not Finish
,10,GBR7343R,Marco Polo,Sun Fast 3600,Stephen Berry,Stephen Berry & Will Best,,,1.045,,DNF-Did Not Finish
,10,NED8489,Windshift,Varianta 44,Rob Bonte,Remco Schilderinck,,,1.047,,DNF-Did Not Finish
