# 2022 IRC Two-Handed - Morgan Cup Race (Fri 17 Jun 22) - 21 boats - https://www.rorc.org/raceresults/2022/twohanded08.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR1663R,Chilli Pepper,Sun Fast 3300,Jim Driver,Jim & Ellie Driver,18 Jun - 13:02:46,18:52:46,1.032,19:29:01,
2,94,GBR9473R,Rockit,Sun Fast 3300,Shirley Robertson,Shirley Robertson & Dee Caffari,18 Jun - 13:00:03,18:50:03,1.035,19:29:36,
3,90,FRA35829,Cora,Sun Fast 3200,Nigel Goodhew,Tim Goodhew & Kelvin Matthews,18 Jun - 13:42:08,19:42:08,0.998,19:39:46,
4,86,USA61287,Sea Bear,Sun Fast 3300,Peter Bacon,Peter Bacon & Antonio Martinez,18 Jun - 13:24:15,19:14:15,1.032,19:51:11,
5,83,GBR4849R,Bug,Sun Fast 3300,Richard Elliott,Richard Elliott & Alex Piatti,18 Jun - 13:41:18,19:31:18,1.029,20:05:16,
6,80,GBR958R,Jangada,JPK 1010,Richard Palmer,Richard Palmer & Jeremy Waitt,18 Jun - 14:11:00,20:11:00,0.999,20:09:47,
7,78,GBR9779T,JAGO,J/109,Mike Yates,Mike Yates & Will Holland,18 Jun - 14:20:38,20:20:38,1.006,20:27:57,
8,76,GBR795R,Diablo,Sun Fast 3600,Nick Martin,Nick Martin & Calanach Finlayson,18 Jun - 14:09:27,19:59:27,1.035,20:41:26,
9,74,GBR7933R,Fastrak XII,Sun Fast 3300,Nigel de Quervain Colley,Nigel de Quervain Colley & Mathew Smith,18 Jun - 14:22:16,20:12:16,1.030,20:48:38,
10,72,GBR833X,Hooligan VIII,Sun Fast 3300,Edward Broadway,Ed Broadway & Ian White,18 Jun - 14:26:30,20:16:30,1.030,20:53:00,
11,70,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,Mike O'Donovan & Saoirse Reynolds,18 Jun - 14:18:42,20:08:42,1.050,21:09:08,
12,68,NED53037,Il Corvo,JPK 1180,Astrid de Vin,Astrid de Vin & Roeland Franssens,18 Jun - 13:40:39,19:20:39,1.095,21:10:55,
13,66,GBR2095R,Surf,Sun Fast 3300,James Harayda,Adrian Dyball & Richard Mathews,18 Jun - 14:47:00,20:37:00,1.030,21:14:07,
14,65,GBR4867L,Purple Mist,Sun Fast 3200,Katherine Cope,Kate Cope & Conrad Manning,18 Jun - 15:20:57,21:20:57,0.999,21:19:40,
15,64,GBR26R,Morning After,S&S 34,Stuart Greenfield,Stuart Greenfield & Louise Clayton,18 Jun - 16:54:30,22:54:30,0.935,21:25:09,
16,63,GBR979R,Malice,HOD 35,Mike Moxley,Mike Moxley & Tom Bridge,18 Jun - 15:24:35,21:14:35,1.020,21:40:05,
17,62,GBR1476R,Wavetrain,Channel 32 Custom,Gavin Howe,Joe Walters & Evie Herrington,18 Jun - 15:07:37,20:57:37,1.034,21:40:23,
18,61,GBR2842L,Sun Kosi,Sun Fast 3200,Miles Delap,Miles Delap & Keith Oliver,18 Jun - 16:22:15,22:22:15,0.994,22:14:12,
19,60,GBR4724L,Greylag,Pogo 36,Richard Hargreaves,Richard Hargreaves & Craig Nutter,18 Jun - 14:29:29,20:09:29,1.123,22:38:15,
,10,GBR1583R,Asgard,Sun Fast 3300,Ross Farrow,Matthew Bird & Oliver Hill,,,1.030,,DNS-Did Not Start
,10,FRA53116,Princesse Gotionude II,Sun Fast 3600,Nicolas Dezeustre,Nicolas Dezeustre & Patrick Besancon,,,1.043,,DNS-Did Not Start
