# 2022 IRC Two-Handed - La Trinité Cowes Race (Sun 3 Jul 22) - 12 boats - https://www.rorc.org/raceresults/2022/twohanded10.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,87,FRA43510,CMG Groupe EJ,JPK 1010,Regis Vian,Regis Vian & Fabien Delahaye,5 Jul - 17:17:28,1 - 23:12:28,0.998,1 - 23:06:48,
2,81,FRA39098,Crescendo,JPK 1010,Philippe Sauzieres,Philippe Sauzieres & Guy Delcroix,5 Jul - 19:32:04,2 - 01:27:04,0.993,2 - 01:06:18,
3,77,FRA53197,Mary,JPK 1030,Francois Moriceau,Francois Moriceau & Christophe Waubant,5 Jul - 18:43:18,2 - 00:38:18,1.017,2 - 01:27:55,
4,73,FRA43831,Timeline,JPK 1080,Marc Alperovitch,,5 Jul - 18:17:55,2 - 00:12:55,1.035,2 - 01:54:10,
5,70,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,Rob Craigie & Deb Fish,5 Jul - 18:41:12,2 - 00:36:12,1.034,2 - 02:15:21,
6,67,FRA53187,A40  Architectes,JPK 1030,Stephane Bodin,Stephane & Romane Bodin,5 Jul - 20:05:58,2 - 02:00:58,1.026,2 - 03:19:00,
7,65,FRA43657,Fleur Du Sud,JPK 1010,Patrick Molitor,Patrick Molitor & Alan Lebreton,5 Jul - 21:50:16,2 - 03:45:16,0.997,2 - 03:35:57,
8,63,FRA53057,Lazy Boy,Sun Fast 3200 R2,Yann Gapais,Yann & Yves Gapais,5 Jul - 21:48:45,2 - 03:43:45,0.999,2 - 03:40:39,
9,61,FRA53213,Moustache,Sun Fast 3300,Olivier Burgaud,Olivier Burgaud & Nathalie Rigal,5 Jul - 20:47:20,2 - 02:42:20,1.029,2 - 04:10:34,
10,59,GBR536,Zest,Humphreys 36,Kathryn Schmitt,Kass Schmitt & Rupert Holmes,5 Jul - 23:26:30,2 - 05:21:30,0.999,2 - 05:18:18,
11,57,FRA95F,Shamrock V,Figaro 2,Bruno Basuyaux,Bruno Basuyaux & Bastien Bouchard,5 Jul - 21:46:20,2 - 03:41:20,1.050,2 - 06:16:24,
,10,POL00CK6,My Way,Sun Fast 3300,Janusz Madej,,,,1.027,,DNF-Did Not Finish
