# 2022 IRC Two-Handed - Channel Race (Sat 23 Jul 22) - 11 boats - https://www.rorc.org/raceresults/2022/twohanded14.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,84,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,Rob Craigie & Deb Fish,24 Jul - 06:28:26,22:18:26,1.034,23:03:56,
2,78,GBR958R,Jangada,JPK 1010,Richard Palmer,Richard Palmer & Rupert Holmes,24 Jul - 07:26:56,23:26:56,0.999,23:25:32,
3,74,GBR795R,Diablo,Sun Fast 3600,Nick Martin,Nick Martin & Calanach Finlayson,24 Jul - 06:51:06,22:41:06,1.035,23:28:44,
4,70,USA61287,Sea Bear,Sun Fast 3300,Peter Bacon,Peter Bacon & Antonio Martinez,24 Jul - 07:05:59,22:55:59,1.032,23:40:01,
5,67,GBR6779R,Kestrel,Sun Fast 3300,Simon Bamford,Simon Bamford & Jerome Carson,24 Jul - 07:19:02,23:09:02,1.031,23:52:06,
6,64,GBR2095R,Surf,Sun Fast 3300,Adrian Dyball,Ben Palmer & Sam Eversfield,24 Jul - 07:23:12,23:13:12,1.030,23:55:00,
7,62,POL0006CK,My Way,Sun Fast 3300,Janusz Madej,Janusz Madej & Matthew Beecher,24 Jul - 07:30:51,23:20:51,1.027,23:58:40,
8,60,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,Gavin Howe & Rosie Hill,24 Jul - 07:05:59,22:55:59,1.050,1 - 00:04:47,
9,58,GBR9779T,JAGO,J/109,Mike Yates,Mike Yates & Will Holland,24 Jul - 08:05:45,1 - 00:05:45,1.006,1 - 00:14:25,
10,56,GBR26R,Morning After,S&S 34,Stuart Greenfield,Stuart Greenfield & Louise Clayton,24 Jul - 10:19:03,1 - 02:19:03,0.935,1 - 00:36:25,
11,54,GBR4799R,Jiro,J/99,Mark Kendall,Mark Kendall & Tom Holloway,24 Jul - 08:47:52,1 - 00:47:52,1.010,1 - 01:02:45,
