# 2022 IRC Two-Handed - Sevenstar Round Britain and Ireland Race (Sun 7 Aug 22) - 16 boats - https://www.rorc.org/raceresults/2022/twohanded15.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,96,GBR958R,Jangada,JPK 1010,Richard Palmer,Richard Palmer & Rupert Holmes,22 Aug - 10:27:02,14 - 22:17:02,1.001,14 - 22:38:32,
2,90,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,Rob Craigie & Deb Fish,21 Aug - 22:47:46,14 - 10:37:46,1.035,14 - 22:45:41,
3,86,GBR4436L,Mzungu!,JPK 1080,Tony White,Sam White & Sam North,21 Aug - 22:57:11,14 - 10:47:11,1.039,15 - 00:18:40,
4,82,GBR6502L,Wild Pilgrim,Sun Fast 3300,Daniel Jones,Daniel Jones & Jon Tyrrell,22 Aug - 09:29:48,14 - 21:19:48,1.030,15 - 08:03:00,
5,79,GBR795R,Diablo,Sun Fast 3600,Nick Martin,Nick Martin & Calanach Finlayson,22 Aug - 09:17:46,14 - 21:07:46,1.032,15 - 08:33:27,
6,76,GBR1663R,Chilli Pepper,Sun Fast 3300,Jim Driver,Jim & Ellie Driver,22 Aug - 09:58:14,14 - 21:48:14,1.031,15 - 08:53:45,
7,74,GBR9473R,Rockit,Sun Fast 3300,Shirley Robertson,Shirley Robertson & Dee Caffari,22 Aug - 10:16:00,14 - 22:06:00,1.034,15 - 10:16:31,
8,72,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,Gavin Howe & Maggie Adamson,22 Aug - 09:57:27,14 - 21:47:27,1.052,15 - 16:23:45,
9,70,IOM8931R,Aj Wanderlust,Sun Odyssey 45.2,Charlene Howard,Charlene Howard & Robert Drummond,24 Aug - 12:54:02,17 - 00:44:02,0.989,16 - 20:14:16,
10,68,GER655,Snifix Dry,Peterson 43 Ior 2-ton,Dirk Lahmann,Dirk Lahmann & Wilhelm Demel,24 Aug - 12:12:02,17 - 00:02:02,1.002,17 - 00:51:00,
11,66,FRA64,Esprit Scout,Figaro II 2.10 Wb,Marc Dubos,Marc Dubos & Jean-Luc Schoch,23 Aug - 03:29:56,15 - 15:19:56,1.093,17 - 02:14:17,
12,64,IOM7003,Polished Manx II,First 40.7,Kuba Szymanski,Kuba Szymanski & Adrian Kucmin,25 Aug - 14:00:54,18 - 01:50:54,1.018,18 - 09:39:27,
,10,BEL222,Gente DI Mare,Grand Soleil 40c,Roel Ysewyn,Roel Ysewyn & Tom Jonghe,,,1.019,,DNF-Did Not Finish
,10,GBR7933R,Fastrak XII,Sun Fast 3300,Nigel de Quervain Colley,Nigel Colley & David Bowdler,,,1.027,,DNF-Did Not Finish
,10,GBR7343R,Marco Polo,Sun Fast 3600,Stephen Berry,Stephen Berry & Will Best,,,1.045,,DNF-Did Not Finish
,10,GBR715R,Pegasus Of Northumberland,Open 50,Ross Hobson & Adrian Banks,Ross Hobson & Jon McColl,,,1.493,,DNF-Did Not Finish
