# 2022 IRC Two-Handed - Cherbourg Race (Fri 2 Sep 22) - 41 boats - https://www.rorc.org/raceresults/2022/twohanded16.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR979R,Malice,HOD 35,Mike Moxley,Mike Moxley & Tom Bridge,3 Sep - 10:21:50,16:11:50,1.020,16:31:16,
2,94,FRA35829,Cora,Sun Fast 3200,Nigel Goodhew,Tim Goodhew & Kelvin Matthews,3 Sep - 10:39:08,16:39:08,0.998,16:37:08,
3,90,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,Rob Craigie & Deb Fish,3 Sep - 10:34:16,16:24:16,1.034,16:57:44,
4,86,GBR1663R,Chilli Pepper,Sun Fast 3300,Jim Driver,Ellie Driver & Philip Barnes,3 Sep - 10:37:15,16:27:15,1.031,16:57:51,
5,83,GBR9779T,JAGO,J/109,Mike Yates,Mike Yates & Will Holland,3 Sep - 10:58:49,16:58:49,1.006,17:04:56,
6,80,GBR4867L,Purple Mist,Sun Fast 3200,Katherine Cope,Kate Cope & Conrad Manning,3 Sep - 11:06:10,17:06:10,0.999,17:05:08,
7,78,GBR6779R,Kestrel,Sun Fast 3300,Simon Bamford,Simon Bamford & Jerome Carson,3 Sep - 10:45:34,16:35:34,1.031,17:06:26,
8,76,GBR6890R,Red Ruby,Sun Fast 3300,Christina Wolfe,Christina & Justin Wolfe,3 Sep - 10:51:18,16:41:18,1.026,17:07:20,
9,74,GBR958R,Jangada,JPK 1010,Richard Palmer,Richard Palmer & Jeremy Waitt,3 Sep - 11:09:21,17:09:21,0.999,17:08:19,
10,72,GBR795R,Diablo,Sun Fast 3600,Nick Martin,Nick Martin & Calanach Finlayson,3 Sep - 10:50:35,16:40:35,1.030,17:10:36,
11,70,GBR8643T,Arcsine,Arcona 370,Kathy Claydon,Kathy Claydon & Philip Kirk,3 Sep - 11:07:11,17:07:11,1.004,17:11:18,
12,68,GBR1583R,Asgard,Sun Fast 3300,Ross Farrow,Matthew Bird and Josh Dawson,3 Sep - 10:57:43,16:47:43,1.030,17:17:57,
13,66,USA61287,Sea Bear,Sun Fast 3300,Peter Bacon,Peter Bacon & Antonio Martinez,3 Sep - 10:59:08,16:49:08,1.029,17:18:24,
14,65,GBR6502L,Wild Pilgrim,Sun Fast 3300,Daniel Jones,Daniel Jones & Jon Tyrrell,3 Sep - 10:59:06,16:49:06,1.030,17:19:22,
15,64,GBR6899R,Jam,J/99,Wayne Palmer,Wayne Palmer & Pip Hare,3 Sep - 11:04:49,17:04:49,1.016,17:21:13,
16,63,FRA38967,Kia Ora,JPK 1010,Olivier Hays,Olivier Hays & Julien Lebas,3 Sep - 11:23:40,17:23:40,0.999,17:22:37,
17,62,GBR3402X,Vellamo,Grand Soleil 34,Mark Greenaway,Mark Greenaway & Josie Gliddon,3 Sep - 11:11:56,17:11:56,1.011,17:23:17,
18,61,FRA34824,Casamyas,JPK 960,Samuel Dumenil,Samuel Dumenil & Maxime Lemesle,3 Sep - 11:49:44,17:49:44,0.976,17:24:04,
19,60,GBR1394R,Zephyr,Sun Fast 3300,Simon Toms,Simon Toms & Nigel King,3 Sep - 11:05:29,16:55:29,1.032,17:27:59,
20,58.75,GBR5176L,Black Dog IV,Sun Fast 3300,Stuart Sawyer,,3 Sep - 11:16:19,17:06:19,1.022,17:28:54,
20,58.75,GBR776,Vela Roja,JPK 1030,Christian Teichmann,Christian Teichmann & Hugh Brayshaw,3 Sep - 11:08:21,16:58:21,1.030,17:28:54,
22,58,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,Gavin Howe & Alaric Bates,3 Sep - 10:48:14,16:38:14,1.052,17:30:08,
23,57.5,FRA9803,Platypus,Sun Fast 3200 R2 1.90,Philippe Benaben,Philippe Benaben & Alain Bessou,3 Sep - 11:36:33,17:36:33,0.998,17:34:26,
24,57,FRA28,Tuf…tuf…tuf,Figaro II,Pascal Tuffier,Pascal Tuffier & Xavier Decosse,3 Sep - 10:40:00,16:30:00,1.067,17:36:20,
25,56.5,GBR3759L,Jelenko II,Sun Fast 3600,Jonathan Bevan,Jonathan Bevan & Simon Dipple,3 Sep - 11:12:54,17:02:54,1.040,17:43:49,
26,56,GBR1476R,Wavetrain,Channel 32 Custom,Gavin Howe,Jack Acton & Madelaine Kirk,3 Sep - 11:20:43,17:10:43,1.034,17:45:46,
27,55.5,MLT105,Bigfoot,J/105,Robert Nelson,Rob Nelson & Ian Dyall,3 Sep - 11:53:52,17:53:52,0.996,17:49:34,
28,55,GBR1521R,Rock Lobster,J/121,Nick Angel,Nick Angel & Andy Greenwood,3 Sep - 10:35:14,16:25:14,1.106,18:09:40,
29,54.5,GBR2904L,Hot Pursuit,Sun Fast 3200,Jerry Freeman,Jerry Freeman & Richard Leaver,3 Sep - 12:22:07,18:22:07,0.991,18:12:12,
30,54,GBR2842L,Sun Kosi,Sun Fast 3200,Miles Delap,Miles Delap & Keith Oliver,3 Sep - 12:50:18,18:50:18,0.994,18:43:31,
31,53.5,GBR5963T,Pyxis,X-332,Kirsteen Donaldson,Kirsteen Donaldson & Juan Moreno,3 Sep - 13:53:15,19:53:15,0.954,18:58:22,
32,53,GBR4724L,Greylag,Pogo 36,Richard Hargreaves,Richard Hargreaves & Craig Nutter,3 Sep - 11:10:01,17:00:01,1.123,19:05:29,
33,52.5,GBR112N,J’ouvert,J/112e,Simon Harris,Simon Harris & Daniel Law,3 Sep - 14:03:30,19:53:30,1.049,20:51:59,
34,52,IOM7003,Polished Manx II,First 40.7,Kuba Szymanski,Kuba Szymanski & Adrian Kucmin,3 Sep - 14:47:35,20:47:35,1.018,21:10:02,
,10,GBR1307R,Argo,Arcona 340 1.95,Neville Askew,Neville Askew & Elliott Caldwell,,,0.996,,DNS-Did Not Start
,10,SWE450,Emily Of Cowes,Elan 450,Richard Oswald,,,,1.043,,DNS-Did Not Start
,10,FRA160,Palanad 3,Class40,Antoine Magre,Antoine Magre & James Murphy,,,1.260,,DNS-Did Not Start
,10,GBR3373L,Azygos,Dufour 40,David Stott,David Stott & Sam Hatch,,,1.014,,DNF-Did Not Finish
,10,GBR927R,Atomic,Sun Fast 3300,Gareth Edmondson,,,,1.025,,DNF-Did Not Finish
,10,GBR5964R,New Normal,Sun Fast 3300,Thomas Fenemore,Tom Fenemore & Daisy Collingridge,,,1.028,,DNF-Did Not Finish
,10,GBR9473R,Rockit,Sun Fast 3300,Nigel de Quervain Colley,Nigel Colley & Ian Hoddle,,,1.034,,DNF-Did Not Finish
