# 2022 IRC Two-Handed - Entries: 99      Races Sailed: 15      Discard: 10 (None) - 99 boats - https://www.rorc.org/raceresults/2022/twohandedos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR958R,Jangada,JPK 1010,Richard Palmer,,,,0.999,,
,,FRA35829,Cora,Sun Fast 3200,Nigel Goodhew,,,,0.998,,
,,GBR1663R,Chilli Pepper,Sun Fast 3300,Jim Driver,,,,1.031,,
,,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,,,,1.034,,
,,GBR795R,Diablo,Sun Fast 3600,Nick Martin,,,,1.030,,
,,GBR9779T,JAGO,J/109,Mike Yates,,,,1.006,,
,,GBR6502L,Wild Pilgrim,Sun Fast 3300,Daniel Jones,,,,1.030,,
,,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,,,,1.052,,
,,GBR9473R,Rockit,Sun Fast 3300,Nigel de Quervain Colley,,,,1.034,,
,,USA61287,Sea Bear,Sun Fast 3300,Peter Bacon,,,,1.029,,
,,GBR4867L,Purple Mist,Sun Fast 3200,Katherine Cope,,,,0.999,,
,,GBR979R,Malice,HOD 35,Mike Moxley,,,,1.020,,
,,GBR6779R,Kestrel,Sun Fast 3300,Simon Bamford,,,,1.031,,
,,GBR2842L,Sun Kosi,Sun Fast 3200,Miles Delap,,,,0.994,,
,,GBR4436L,Mzungu!,JPK 1080,Tony White,,,,1.039,,
,,GBR6890R,Red Ruby,Sun Fast 3300,Christina Wolfe,,,,1.026,,
,,GBR26R,Morning After,S&S 34,Stuart Greenfield,,,,0.935,,
,,IOM7003,Polished Manx II,First 40.7,Kuba Szymanski,,,,1.018,,
,,GBR7933R,Fastrak XII,Sun Fast 3300,Nigel de Quervain Colley,,,,1.027,,
,,GBR1583R,Asgard,Sun Fast 3300,Ross Farrow,,,,1.030,,
,,FRA38967,Kia Ora,JPK 1010,Olivier Hays,,,,0.999,,
,,MLT105,Bigfoot,J/105,Robert Nelson,,,,0.996,,
,,GBR1476R,Wavetrain,Channel 32 Custom,Gavin Howe,,,,1.034,,
,,GBR2095R,Surf,Sun Fast 3300,Adrian Dyball,,,,1.030,,
,,GBR3759L,Jelenko II,Sun Fast 3600,Jonathan Bevan,,,,1.040,,
,,GBR4724L,Greylag,Pogo 36,Richard Hargreaves,,,,1.123,,
,,GBR5964R,New Normal,Sun Fast 3300,Thomas Fenemore,,,,1.028,,
,,GBR927R,Atomic,Sun Fast 3300,Gareth Edmondson,,,,1.025,,
,,FRA43510,Numerobis,JPK 1010,Regis Vian,,,,0.998,,
,,GBR6899R,Jam,J/99,Wayne Palmer,,,,1.016,,
,,GBR833X,Hooligan VIII,Sun Fast 3300,Edward Broadway,,,,1.030,,
,,FRA39098,Crescendo,JPK 1010,Philippe Sauzieres,,,,0.993,,
,,GBR4849R,Bug,Sun Fast 3300,Richard Elliott,,,,1.029,,
,,FRA53197,Mary-3,JPK 1030,Francois Moriceau,,,,1.017,,
,,GBR112N,J’ouvert,J/112e,Simon Harris,,,,1.049,,
,,FRA43831,Timeline,JPK 1080,Marc Alperovitch,,,,1.035,,
,,FRA53057,Lazy Boy,Sun Fast 3200,Yann Gapais,,,,0.999,,
,,FRA43657,Fleur Du Sud,JPK 1010,Patrick Molitor,,,,0.997,,
,,GBR536,Zest,Humphreys 36 Custom,Kathryn Schmitt,,,,0.999,,
,,FRA53187,Wasabii,JPK 1030,Stephane Bodin,,,,1.026,,
,,FRA53213,Moustache,Sun Fast 3300,Olivier Burgaud,,,,1.029,,
,,GBR776,Vela Roja,JPK 1030,Christian Teichmann,,,,1.030,,
,,FRA95F,Shamrock V,Figaro II,Bruno Basuyaux,,,,1.050,,
,,GBR3402X,Vellamo,Grand Soleil 34,Mark Greenaway,,,,1.011,,
,,GBR2904L,Hot Pursuit,Sun Fast 3200,Jerry Freeman,,,,0.991,,
,,GBR5963T,Pyxis,X-332,Kirsteen Donaldson,,,,0.954,,
,,FRA28,Tuf…tuf…tuf,Figaro II,Pascal Tuffier,,,,1.067,,
,,FRA53192,Moshimoshi,Sun Fast 3300,Sebastien Saulnier,,,,1.028,,
,,NED53037,Il Corvo,JPK 1180,Astrid de Vin,,,,1.095,,
,,FRA53239,Axe Sail,J/99,Maxime Mesnil,,,,1.020,,
,,GBR4799R,Jiro,J/99,Mark Kendall,,,,1.010,,
,,IOM8931R,Aj Wanderlust,Sun Odyssey 45.2,Charlene Howard,,,,0.989,,
,,GER655,Snifix Dry,Peterson 43 Ior 2-ton,Dirk Lahmann,,,,1.002,,
,,FRA64,Esprit Scout,Figaro II 2.10 Wb,Marc Dubos,,,,1.093,,
,,FRA43853,Solenn For Pure Ocean,JPK 1080,,,,,1.040,,
,,MLT7387,Vivace,Reflex 38,,,,,1.024,,
,,GBR9203R,Wee Bear,Projection 920,Nick Lee,,,,0.985,,
,,SWE247,Team Mobline,Albin Nova,Paer Lindfors,,,,0.925,,
,,BEL6669,Blackfish,J&V 39,,,,,1.120,,
,,F77,Faïaoahé,Prototype,Remy Gerin,,,,1.084,,
,,GBR2742R,Atame,Fast 42,,,,,1.074,,
,,BEL10,Bella Donna,Open 50,,,,,1.289,,
,,FIN709,Irie,J/109,Julius Haartti & Sanna Moliis,,,,0.999,,
,,GBR363X,Kai,Pogo 12.50,Tim Knight,,,,1.162,,
,,IRL1627,Cinnamon Girl,Sunfast 3300,Cian Mc Carthy,,,,1.026,,
,,FRA34824,Casamyas,JPK 960,Samuel Dumenil,,,,0.976,,
,,GBR8643T,Arcsine,Arcona 370,Kathy Claydon,,,,1.004,,
,,DEN21,The Spirit,Figaro 2,Anders Lundmark,,,,1.068,,
,,BEL222,Gente DI Mare,Grand Soleil 40c,Roel Ysewyn,,,,1.019,,
,,GBR5231L,Fidelitas,Elan 37 2.30,Charles Clapham,,,,0.996,,
,,GBR8956R,Delay No More,Sun Fast 3200,Nigel Davis,,,,0.992,,
,,GBR3373L,Azygos,Dufour 40,David Stott,,,,1.014,,
,,NED4774,Waverider,Sun Fast 3200,Willem Schopman,,,,0.998,,
,,FRA53116,Princesse Gotionude II,Sun Fast 3600,Nicolas Dezeustre,,,,1.043,,
,,FIN10647,Indigo,Finngulf 41,Juha Mattila,,,,1.048,,
,,POL0006CK,My Way,Sun Fast 3300,Janusz Madej,,,,1.027,,
,,GBR1394R,Zephyr,Sun Fast 3300,Simon Toms,,,,1.032,,
,,FRA53308,Leeuwin,JPK 1030,Bertrand Semaille,,,,1.027,,
,,GBR7581R,Azora,C&C 115,Stephen Thomas,,,,1.020,,
,,GBR5176L,Black Dog IV,Sun Fast 3300,Stuart Sawyer,,,,1.022,,
,,FRA9803,Platypus,Sun Fast 3200 R2 1.90,Philippe Benaben,,,,0.998,,
,,IRL6885,Shindig,Swan 40 S&S,A. Kingston,,,,0.940,,
,,GBR1521R,Rock Lobster,J/121,Nick Angel,,,,1.106,,
,,GBR3030X,Bijou,Pogo 30,Iain Morton,,,,1.034,,
,,GBR6990R,Jolly Jumper,J/99,Jean-Baptiste Brian,,,,1.015,,
,,FRA160,Palanad 3,Class40,Antoine Magre,,,,1.260,,
,,GBR1307R,Argo,Arcona 340 1.95,Neville Askew,,,,0.996,,
,,SWE450,Emily Of Cowes,Elan 450,Richard Oswald,,,,1.043,,
,,GBR715R,Pegasus Of Northumberland,Open 50,Ross Hobson & Adrian Banks,,,,1.493,,
,,GBR7343R,Marco Polo,Sun Fast 3600,Stephen Berry,,,,1.045,,
,,USA43545,Echo Zulu,Frers 45,William Croxford,,,,1.072,,
,,POL00CK6,My Way,Sun Fast 3300,Janusz Madej,,,,1.027,,
,,NED9101,J-blue,JPK 9.60,Jan Bruijn,,,,0.978,,
,,FRA27550,Elma,JPK 960,Marc Willame,,,,0.977,,
,,BEL1030,Pneuma,JPK 1030,,,,,1.029,,
,,CRO1338,Match Point,Bavaria 42 match,,,,,1.066,,
,,FRA53222,Jubilee,J/109,,,,,1.009,,
,,ITA14117,Ultravox,X-332 Sport,,,,,0.991,,
,,ITA15145,Libertine,Comet 45 R,,,,,1.115,,
