# 2022 RORC Mainseries IRC Zero - RORC Caribbean 600 Race (Mon 21 Feb 22 11:10:00) - 19 boats - https://www.rorc.org/raceresults/2022/zero03.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,99,USA60564,Warrior Won,Pac52,Christopher Sheehan,,23 Feb - 21:31:12,2 - 10:21:12,1.408,3 - 10:09:41,
2,93,GBR520X,Tala,Botin Irc 52,David Collins,,23 Feb - 22:45:15,2 - 11:35:15,1.408,3 - 11:53:57,
3,89,USA5202,Callisto,Pac52,Kate & Jim Murray,Jim Murray,23 Feb - 22:56:13,2 - 11:46:13,1.407,3 - 12:05:48,
4,85,FRA8668,Teasing Machine,NMYD 54,Eric de Turckheim,,24 Feb - 00:18:30,2 - 13:08:30,1.380,3 - 12:22:32,
5,82,FRA3600,Daguet 3 CORUM,Ker 46,Frederic Puzin,,24 Feb - 08:42:45,2 - 21:32:45,1.287,3 - 17:30:20,
6,79,FRA53028,Lady First 3,Mylius 60,Jean Pierre Dreau,,24 Feb - 06:58:04,2 - 19:48:04,1.357,3 - 20:00:22,
7,77,FRA4600,Tonnerre De Glen,Ker 46,Dominique Tian,,24 Feb - 13:59:00,3 - 02:49:00,1.270,3 - 23:01:02,
8,75,USA61333,Triple Lindy,Cookson 50,Joseph Mele,,24 Feb - 10:52:57,2 - 23:42:57,1.330,3 - 23:22:55,
9,73,SWE15,Matador,Elliott 44 CR,Jonas Grander,,24 Feb - 19:45:33,3 - 08:35:33,1.244,4 - 04:15:25,
10,71,FRA43617,The Kid For Ville De Nice,Jp 54,Jean-Pierre Dick,,24 Feb - 13:54:02,3 - 02:44:02,1.361,4 - 05:42:46,
11,69,GBR3875X,Phosphorus II,A13,Mark Emerson,,25 Feb - 02:21:42,3 - 15:11:42,1.176,4 - 06:32:29,
12,67,FRA150433,Mahana,Ice Yacht 52,Jean Yves Thomas,,24 Feb - 23:03:02,3 - 11:53:02,1.230,4 - 07:10:38,
13,65,GBR9660R,Lee Overlay Partners II,Swan 60,Adrian Lee,,25 Feb - 03:02:40,3 - 15:52:40,1.192,4 - 08:45:01,
14,64,USA66866,Polaris,Sydney 47,William Passano III,,25 Feb - 05:16:09,3 - 18:06:09,1.181,4 - 10:24:40,
15,63,FRA26,Selma Racing Academy,Class40,Marc Lepesqueux,Artur Skrzyszowski,25 Feb - 11:02:25,3 - 23:52:25,1.201,4 - 19:08:39,
16,62,POL22157,Fujimo,Reichel Pugh 50 Ior,Wojciech Bulhak,Tomasz Kosobucki,25 Feb - 17:51:32,4 - 06:41:32,1.175,5 - 00:39:48,
,10,GBR8653R,Spirit Of Juno,Farr 65,Ondeck,Paul Jackson,,,1.211,,DNF-Did Not Finish
,10,USA82102,White Rhino,Swan 82,Todd Stuart,,,,1.343,,DNF-Did Not Finish
,10,USA50009,Privateer,Cookson 50,Ron O'Hanley,,,,1.389,,DNF-Did Not Finish
