# Summer Series: Salcombe Gin July Regatta - R1 - IRC 1 Class - 10 boats - https://scm.royal-southern.co.uk/racing-results/july-regatta-25
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1.0,GBR748R,Happy Daize,J/112E,James Chalmers,,11:25:40,0:55:40,,0:58:14,
2,2.0,GBR1111X,Jitterbug,J/111,Cornel Riklin,,11:24:07,0:54:07,,0:58:46,
3,3.0,GBR111N,McFly,J/111,Anthony Mack,,11:24:16,0:54:16,,0:58:59,
4,4.0,GBR7751R,JourneyMaker 11,J/111,Louise Makin,,11:24:16,0:54:16,,0:59:12,
5,5.0,GBR5811R,Jagerbomb,J/111,Paul Griffiths,,11:24:16,0:54:16,,0:59:16,
6,6.0,GBR11,Frequent Flyer,J/111,Paul Wollmann,,11:25:02,0:55:02,,0:59:49,
7,7.0,GBR1112X,White Majic,J/112E,Lesley Hunt,,11:28:47,0:58:47,,1:01:33,
8,8.0,GBR8419,X-Day,GP42,Lars Hückstädt,,11:19:21,0:49:21,,1:02:14,
9,9.0,GBR411,Mako,Fareast 28R,Ian Watkins,,11:29:41,0:59:41,,1:02:44,
10,10.0,GBR3119X,Squirrel,Cape 31,Christopher Anstead,,11:25:48,0:55:48,,1:03:13,
