# Summer Series: June Regatta - R6 - IRC 3 Class - 13 boats - https://scm.royal-southern.co.uk/racing-results/june-regatta-24
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1.0,GBR581R,AntiX,,,,14:23:53,0:46:53,0.92,0:43:08,
2,2.0,GBR6508T,Banter,,,,14:24:56,0:47:56,0.907,0:43:29,
3,2.6,GBR5610L,FIZZ,,,,,RDGa,0.913,,
4,3.0,GBR8525R,Liquidity Risk II,,,,14:24:40,0:47:40,0.916,0:43:40,
5,4.0,GBR6455R,Frank 3,,,,14:22:40,0:45:40,0.963,0:43:59,
6,5.0,GBR9827,Bad Toad,,,,14:26:37,0:49:37,0.897,0:44:30,
7,6.0,GBR9202R,NightJar,,,,14:23:36,0:46:36,0.957,0:44:36,
8,7.0,GBR9201R,Jambo,,,,14:22:56,0:45:56,0.976,0:44:50,
9,8.0,GBR5189T,J'ronimo,,,,14:24:10,0:47:10,0.958,0:45:11,
10,9.0,GBR2522R,Scallion,,,,14:27:48,0:50:48,0.923,0:46:53,
11,10.0,GBR9022T,Touchpaper,,,,14:25:10,0:48:10,0.976,0:47:01,
12,11.0,GBR4562,Artemis,,,,14:32:32,0:55:32,0.918,0:50:59,
13,14.0,GBR4944R,Ushaka,,,,143059,DSQ,0.899,,
