# Summer Series: North Sails May Regatta - R2 - IRC 1 Class - 11 boats - https://scm.royal-southern.co.uk/racing-results/may-regatta-25
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1.0,GBR4863R,Yes!,JPK 1080,Adam Gosling,,16:15:32,0:55:32,1.057,0:58:42,
2,2.0,GBR748R,Happy Daize,J/112,James Chalmers,,16:16:49,0:56:49,1.046,0:59:26,
3,3.0,BER11,Frequent Flyer,J/111,Paul Wollmann,,16:15:47,0:55:47,1.087,1:00:38,
4,4.0,GBR1111X,Jitterbug,J/111,Cornel Riklin,,16:15:54,0:55:54,1.086,1:00:42,
5,5.0,GBR111N,McFly,J/111,Anthony Mack,,16:16:02,0:56:02,1.087,1:00:54,
6,6.0,GBR7751R,JourneyMaker 11,J/111,Louise Makin,,16:15:59,0:55:59,1.091,1:01:05,
7,7.0,GBR5811R,Jagerbomb,J/111,Paul Griffiths,,16:16:31,0:56:31,1.092,1:01:43,
8,8.0,GBR411,Mako,Fareast 28R,Ian Watkins,,16:18:49,0:58:49,1.051,1:01:49,
9,9.0,GBR3103L,Jolene,J/111,Jolene Syndicate,,16:16:50,0:56:50,1.088,1:01:50,
10,10.0,GBR1112X,White Majic,J/112E,Lesley Hunt,,16:28:59,1:08:59,1.047,1:12:14,
11,12.0,DEN4,Cool Runnings,Open 7.50,Ross Bowdler,,,RET,1.099,,
