# Royal Southern Summer Series: North Sails May Regatta - Black Group - R1 - IRC 3 Class - 12 boats - https://scm.royal-southern.co.uk/racing-results/north-sails-may-regatta-bg-results
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1.0,GBR5189,J'ronimo,J92 / J92,,,140058,0:50:58,0.962,0:49:02,
2,2.0,GBR6455R,Frank 3,SJ 320,,,140158,0:51:58,0.964,0:50:06,
3,3.0,GBR6508T,Banter,Mustang 30 Mk2,,,14:05:16,0:55:16,0.908,0:50:11,
4,4.0,GBR2644,Ipqu-Aya,,,,141605,1:06:05,0.768,0:50:45,
5,5.0,GBR9616,Imptish,Hunter Impala,,,14:08:00,0:58:00,0.879,0:50:59,
6,6.0,GBR9972L,Brendas J,J92,,,14:02:11,0:52:11,0.979,0:51:05,
7,7.0,GBR8185,quokka 9,Half Tonner,,,14:04:24,0:54:24,0.943,0:51:18,
8,8.0,GBR5831R,Thunderbault,Archambault 31,,,14:02:41,0:52:41,0.984,0:51:50,
9,9.0,GBR716,Justify,J/80,,,14:05:42,0:55:42,0.945,0:52:38,
10,10.5,GBR7091N,Jetwho?,Hunter 707 Modified,,,14:07:55,0:57:55,0.926,0:53:38,
10,10.5,GBR3111X,Rum N Cork B1,Bavaria B One,,,14:05:14,0:55:14,0.971,0:53:38,
12,12.0,GBR4944R,ushaka,Dehler 101,,,14:12:30,1:02:30,0.902,0:56:23,
