# Royal Southern Summer Series: Salcombe Gin July Regatta - R2 - IRC 3 Class - 10 boats - https://scm.royal-southern.co.uk/racing-results/salcombe-gin-july-regatta-black-group
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1.0,GBR6508T,Banter,Mustang 30 Mk2,,,14:54:50,0:35:50,0.908,0:32:32,
2,2.0,GBR581R,AntiX,X-302,,,14:55:53,0:36:53,0.921,0:33:58,
3,3.0,GBR6455R,Frank 3,SJ 320,,,14:54:25,0:35:25,0.961,0:34:02,
4,4.0,GBR5189T,J'ronimo,J92 / J92,,,14:55:10,0:36:10,0.962,0:34:48,
5,5.0,GBR716,Justify,J/80,,,14:56:37,0:37:37,0.945,0:35:33,
6,6.0,GBR9022T,Touchpaper,Corby 29,,,14:56:35,0:37:35,0.978,0:36:45,
7,7.0,GBR4589R,Prospero Of Hamble,Sigma 33 OOD,,,14:59:54,0:40:54,0.910,0:37:13,
8,8.0,GBR9972L,Brendaâ s J,J92,,,14:57:10,0:38:10,0.979,0:37:22,
9,9.0,GBR612R,Firebrand,S&S 43,,,15:02:30,0:43:30,0.980,0:42:38,
10,10.0,GBR4944R,ushaka,Dehler 101,,,15:06:53,0:47:53,0.902,0:43:11,
