# Royal Southern Summer Series 2025September Regatta - R2 - IRC 1 Class - 11 boats - https://scm.royal-southern.co.uk/racing-results/september-regatta-2025-bg
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1.0,GBR6712R,Dawn Treader,JPK1180,Ed Bell,,12:37:36,0:47:36,,0:52:04,
2,2.0,GBR748R,Happy Daize,J/112E,James Chalmers,,12:40:00,0:50:00,,0:52:18,
3,3.0,BER11,Frequent Flyer,J/111,Paul Wollmann,,12:39:00,0:49:00,,0:53:16,
4,4.0,GBR7751R,JourneyMaker 11,J/111,Louise Makin,,12:39:13,0:49:13,,0:53:42,
5,5.0,GBR1010L,xinska,X4,Rupert Morgan,,12:39:25,0:49:25,,0:53:52,
6,6.0,GBR5811R,Jagerbomb,J/111,Paul Griffiths,,12:39:42,0:49:42,,0:54:16,
7,7.0,GBR111N,McFly,J/111,Anthony Mack,,12:39:56,0:49:56,,0:54:17,
8,8.0,GBR888N,Cobra,King 40,Sebastian Blair,,12:39:06,0:49:06,,0:54:18,
9,9.0,GBR3119X,Squirrel,Cape 31,Christopher Anstead,,12:38:25,0:48:25,,0:54:51,
10,10.0,GBR411,Mako,Fareast 28R,Ian Watkins,,12:42:40,0:52:40,,0:55:21,
11,11.0,GBR1112X,White Majic,J/112E,Lesley Hunt,,12:43:16,0:53:16,,0:55:46,
