# Royal Southern Summer Series 2025 September Regatta - R6 - IRC 2 Class - 10 boats - https://scm.royal-southern.co.uk/racing-results/september-regatta-2025-bg
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1.0,GBR9091R,Jukebox,J/109,J Smart,,14:31:13,1:31:13,,1:31:13,
2,2.0,GBR543R,Karaboudjan,J/109,Peter McConnell,,14:33:12,1:33:12,,1:33:29,
3,3.0,GBR2091R,Jenie,J/109,Rosie Berry,,14:33:24,1:33:24,,1:33:30,
4,4.0,GBR1599R,Jump 2 it,J/99,Kevin Taylor,,14:35:04,1:35:04,,1:35:50,
5,5.0,IRL8088,Frank 4,J/105,Samantha Love,,14:35:49,1:35:49,,1:36:00,
6,6.0,GBR1250N,Elaine Again,JPK1010,Edward Mockridge,,14:37:28,1:37:28,,1:37:51,
7,7.0,GBR3061X,Njord,Archambault - A35,Andrew Screech,,14:37:42,1:37:42,,1:39:28,
8,8.0,GBR5250X,JODO,JOD35,Rich Thoroughgood,,14:38:28,1:38:28,,1:39:39,
9,9.0,GBR5831R,Thunderbault,Archaumbault 31,Julian James,,14:41:42,1:41:42,,1:40:29,
10,10.0,GBR9L,Sunshine,Ker 9m,Malcolm Roberts,,14:43:41,1:43:41,,1:45:21,
