# Summer Series: Champagne Charlie June Regatta - Black Group - R4 - IRC 3 Class - 14 boats - https://scm.royal-southern.co.uk/racing-results/untitled
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1.0,GBR8185,quokka 9,Half Tonner,,,11:47:20,0:57:20,0.941,0:53:57,
2,2.0,GBR9202R,NightJar,J 92,,,11:46:28,0:56:28,0.963,0:54:23,
3,3.0,GBR581R,AntiX,X-302,,,11:49:15,0:59:15,0.921,0:54:34,
4,4.0,GBR6455R,Frank 3,SJ 320,,,11:47:30,0:57:30,0.964,0:55:26,
5,5.0,GBR9033,Duff Lite,,,,11:50:20,1:00:20,0.919,0:55:27,
6,6.0,GBR6508T,Banter,Mustang 30 Mk2,,,11:51:14,1:01:14,0.908,0:55:36,
7,7.0,GBR9972L,Brendas J,J92,,,11:47:34,0:57:34,0.979,0:56:21,
8,8.0,GBR5189T,J'ronimo,J92 / J92,,,11:49:12,0:59:12,0.962,0:56:57,
9,9.0,GBR9022T,Touchpaper,Corby 29,,,11:49:04,0:59:04,0.978,0:57:46,
10,10.0,GBR2522,Scallion,Beneteau,,,11:53:28,1:03:28,0.925,0:58:42,
11,11.0,GBR3111X,Rum N Cork B1,Bavaria B One,,,11:51:50,1:01:50,0.971,1:00:02,
12,12.0,GBR7091N,Jetwho?,,,,11:55:22,1:05:22,0.926,1:00:32,
13,13.0,GBR9700,Raging Bull 3,J97,,,11:54:16,1:04:16,0.966,1:02:05,
14,14.0,GBR4944R,ushaka,Dehler 101,,,11:59:58,1:09:58,0.902,1:03:07,
