# Warsash Spring Series 2022 - IRC 3 Series standings - 20 boats - https://warsashsc.org.uk/wp-content/uploads/Series-IRC3-5.pdf
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR8185,Quokka,Half Ton,,,,,0.949,,
2,,GBR5189T,J'ronimo,J/92,,,,,0.963,,
3,,GBR7696T,Memory Maker,Beneteau 31.7,,,,,0.931,,
4,,GBR4589R,Prospero of Hamble,Sigma 33,,,,,0.912,,
5,,GBR6896T,ERIK THE RED,Mustang Mk2,,,,,0.906,,
6,,GBR7881R,Tiger,Quarter Ton,,,,,0.908,,
7,,FRA7891,Bullit,Quarter Ton,,,,,0.906,,
8,,GBR5499Y,Expressly Forbidden,Albin Express,,,,,0.870,,
9,,GBR6508T,Banter,Mustang 30 Mk2,,,,,0.908,,
10,,GBR7447R,PACIFIST,Quarter Ton,,,,,0.905,,
11,,GBR2644R,Ipqu-Aya,Alacrity 18,,,,,0.768,,
12,,GBR363R,WHOOPER,Laurent Giles,,,,,0.928,,
13,,GBR953R,Belinda,Quarter Ton,,,,,0.909,,
14,,GBR222,Team 21,RS21,,,,,0.944,,
15,,GBR9202R,Nightjar,J/92,,,,,0.964,,
16,,GBR716,Justify,J/80,,,,,0.945,,
17,,GBR624-F,VALHALLA,Nordic Folkboat,,,,,0.785,,
18,,GBR704-F,Svenja,Nordic Folkboat,,,,,0.787,,
19,,ESP3090,Cote,Quarter Ton,,,,,0.902,,
20,,FRA8214,Protis,Quarter Ton,,,,,0.907,,
