# The Henri-Lloyd Warsash Spring Championships 2026 - IRC 2 Champs - 19 boats - https://sailwave.com/results/warsashsc/WSC_Champs_26_BG_Sum.htm
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1st,,GBR9091R,Jukebox,J109,,John Smart,,,0.998,,
2nd,,IRL8088,Frank 4,J109,,Oliver Love,,,1.005,,
3rd,,GBR1599R,Jump 2 it,J99,,Kevin Taylor,,,1.008,,
4th,,GBR2709R,Jumping Jellyfish,J109,,David Richards,,,1.001,,
5th,,GBR1250N,Elaine Again,JPK 1010,,Ed Mockridge,,,1.003,,
6th,,GBR4796L,Joy,JPK 1010,,Steve Butters,,,0.995,,
7th,,GBR6631R,Nightjar,A31,,Jack Banks,,,0.989,,
8th,,GBR8848R,Jenie,J/88,,Rosie Berry,,,1.023,,
9th,,GBR5831R,Thunderbault,Archambault 31,,Julian James,,,0.984,,
10th,,GBR3061X,Dynamo,Archambault A35,,Andrew Screech,,,1.016,,
11th,,GBR9066R,Blackjack,J99,,Vernon Bradley,,,1.007,,
12th,,GBR543R,Karaboudjan,J109,,Aaron Goodman-Simpson,,,1.000,,
13th,,GBR1415L,Mad Dash,Elan 410,,Sam Tregelles,,,1.030,,
14th,,GBR8809R,Mojo Risin',J/109,,Rob Cotterill,,,1.000,,
15th,,GBR8541R,Jeroboam,J/109,,Stephen Davis,,,1.003,,
16th,,GBR3111N,Mostly Harmless,J105,,Natalie Jobling,,,1.000,,
17th,,GBR8199,Further West,J99,,Isabelle Waha,,,1.017,,
18th,,GBR9109T,RED ARROW,J109 2.10,,Jim Will,,,1.001,,
19th,,GBR7385R,Panther,Reflex 38,,James Bathurst,,,1.029,,
