# Warsash Spring Championships 2024 - IRC 3 Series standings - 15 boats - https://warsashsc.org.uk/wp-content/uploads/WSS-24-BG-Champs-Summary-290424-1150.pdf
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,GBR8414R,Aguila,JV,,Sam Laidlaw,,,0.899,,
2,,FRA8214,Protis,Quarter Tonner,,Ian Southworth,,,0.902,,
3,,GBR8185,Quokka,Half Tonner,,James Crew,,,0.943,,
4,,GBR6508T,Banter,Mustang Mk 2,,Handley James Families,,,0.907,,
5,,GBR1034,Cetewayo,Laurnet Giles One Off Sloop,,David Murrin,,,0.965,,
6,,GBR6896T,ERIK the RED,Mustang 30 Mark 2,,Bernard Patrick Fyans,,,0.910,,
7,,GBR9573,Voodoo,Hunter Impala,,Peter Rouse,,,0.880,,
8,,GBR4589R,Prospero of Hamble,Sigma 33,,Allan Fraser,,,0.907,,
9,,GBR5189T,J'ronimo,J92,,David Greenhalgh,,,0.958,,
10,,GBR363R,WHOOPER,L Giles One-off Sloop,,Giovanni Belgrano,,,0.935,,
11,,GBR7881R,TIGER,1/4 TONNER,,TOM DANIEL,,,0.905,,
12,,GBR7447R,PACIFIST,QUARTER TONNER,,Duncan Peace,,,,,
13,,GBR4562,Artemis,Contessa 33,,David McDonald,,,0.918,,
14,,GBR6580T,Banter,Mustang Mk 2,,Handley James Families,,,0.907,,
14,,GBR7696T,Memory Maker,First 31.7,,Don Forster,,,0.936,,
