# Warsash Spring Series 2024 - IRC 3 Series standings - 11 boats - https://warsashsc.org.uk/wp-content/uploads/WSS-24-BG-Series-Summary-280424-1545.pdf
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,,FRA8214,Protis,Quarter Tonner,,Ian Southworth,,,0.902,,
2,,GBR8185,Quokka,Half Tonner,,James Crew,,,0.943,,
3,,GBR585T,2XS,X-99,,Aindriu McCormack,,,0.962,,
4,,GBR1034,Cetewayo,Laurnet Giles One Off Sloop,,David Murrin,,,0.965,,
5,,GBR9573,Voodoo,Hunter Impala,,Peter Rouse,,,0.880,,
6,,GBR363R,WHOOPER,L Giles One-off Sloop,,Giovanni Belgrano,,,0.935,,
7,,GBR5189T,J'ronimo,J92,,David Greenhalgh,,,0.958,,
8,,GBR4589R,Prospero of Hamble,Sigma 33,,Allan Fraser,,,0.907,,
9,,GBR7696T,Memory Maker,First 31.7,,Don Forster,,,0.936,,
10,,GBR8525R,Liquidity Risk II,Corby 25,,Sam Cox,,,0.916,,
11,,GBR4164L,Chameleon of Cowes,Morris M36,,Louis Kenna,,,0.933,,
