# Warsash Spring Championships 2025 - R4 - IRC 3 Division - April 20 at 14.15 - 13 boats - https://sailwave.com/results/warsashsc/WSS25_D1_R4.htm
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1.0,FRA8051,,1/4 Ton,,Sam Laidlaw,15.34.38,0.44.38,0.903,0.40.18,
2,2.0,GBR6508T,Banter,Mustang 30 Mk 2,,Handley James Families,15.36.23,0.46.23,0.906,0.42.01,
3,3.0,GBR8806T,Betty,Sj320,,Jon Powell,15.34.02,0.44.02,0.959,0.42.14,
4,4.0,GBR585T,2XS,X-99,,Aindriu mccormack,15.34.09,0.44.09,0.959,0.42.20,
5,5.0,GBR8185,Quokka,Half Ton,,Peter Rutter,15.35.16,0.45.16,0.940,0.42.33,
6,6.0,IRL9186,Cartoon,Quarter Tonner,,Gavin Doyle,15.37.23,0.47.23,0.899,0.42.36,
7,7.0,GBR8525R,Liquidity Risk II,Corby 25,,Sam Cox,15.36.45,0.46.45,0.915,0.42.47,
8,8.0,GBR4589R,Prospero of Hamble,Sigma 33,,Allan Fraser,15.38.47,0.48.47,0.906,0.44.12,
9,9.0,GBR6896T,ERIK the RED,Mustang 30 Mark2,,Bernard Patrick Fyans,15.39.50,0.49.50,0.906,0.45.09,
10,14.0,GBR7696T,Memory Maker,First 31.7,,Don Forster,,DNC,0.941,,
10,14.0,GBR7881R,TIGER,QUARTER TONNER,,TOM DANIEL,,DNC,0.905,,
10,14.0,FRA8214,Protis,1/4 tonner,,Team Hamble,,DNC,2.000,,
10,14.0,GBR5189T,Jronimo,J92,,David Greenhalgh,,DNC,0.958,,
