# Warsash Spring Championships 2025 - R5 - IRC 3 Division - April 13 - 15 boats - https://sailwave.com/results/warsashsc/WSS25_D2_R1.htm
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1.0,FRA8051,,1/4 Ton,,Sam Laidlaw,11.24.53,0.44.53,0.903,0.40.32,
2,2.0,GBR6508T,Banter,Mustang 30 Mk 2,,Handley James Families,11.25.33,0.45.33,0.906,0.41.16,
3,3.0,GBR8525R,Liquidity Risk II,Corby 25,,Sam Cox,11.26.10,0.46.10,0.915,0.42.15,
4,4.0,IRL9186,Cartoon,Quarter Tonner,,Gavin Doyle,11.27.20,0.47.20,0.899,0.42.33,
5,5.0,GBR8806T,Betty,Sj320,,Jon Powell,11.24.30,0.44.30,0.959,0.42.41,
6,6.0,GBR8185,Quokka,Half Ton,,Peter Rutter,11.25.27,0.45.27,0.940,0.42.43,
7,7.0,GBR585T,2XS,X-99,,Aindriu McCormack,11.24.35,0.44.35,0.959,0.42.45,
8,8.0,GBR4589R,Prospero of Hamble,Sigma 33,,Allan Fraser,11.27.29,0.47.29,0.906,0.43.01,
9,9.0,GBR6896T,ERIK the RED,Mustang 30 Mark2,,Bernard Patrick Fyans,11.28.14,0.48.14,0.906,0.43.42,
10,10.0,GBR5189T,Jronimo,J92,,David Greenhalgh,11.26.25,0.46.25,0.958,0.44.28,
11,11.0,GBR8788,Theseus,1/4 Ton,,Jim Prower,11.28.22,0.48.22,2.000,1.36.44,
12,16.0,W1,Arrow,West Solent OD,,Ian Atkins,,DNC,0.888,,
12,16.0,FRA8214,Protis,1/4 tonner,,Team Hamble,,DNC,2.000,,
12,16.0,GBR7881R,Tiger,Quarter Tonner,,Tom Daniel,,DNC,0.899,,
12,16.0,GBR7696T,Memory Maker,First 31.7,,Don Forster,,DNC,0.941,,
