# Warsash Spring Championships 2025 - R9 - IRC 3 Division - 15 boats - https://sailwave.com/results/warsashsc/WSS25_D4_R1.htm
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1.0,IRL9186,Cartoon,Quarter Tonner,,Gavin Doyle,13.49.30,0.39.30,0.899,0.35.31,
2,2.0,GBR8525R,Liquidity Risk II,Corby 25,,Sam Cox,13.51.09,0.41.09,0.915,0.37.39,
3,3.0,GBR4589R,Prospero of Hamble,Sigma 33,,Allan Fraser,13.52.03,0.42.03,0.906,0.38.06,
4,4.0,GBR8185,Quokka,Half Ton,,Peter Rutter,13.50.50,0.40.50,0.942,0.38.28,
5,5.0,W1,Arrow,West Solent OD,,Ian Atkins,13.54.13,0.44.13,0.888,0.39.16,
6,6.0,GBR7881R,Tiger,Quarter Tonner,,Tom Daniel,13.53.51,0.43.51,0.899,0.39.25,
7,7.0,GBR8806T,Betty,Sj320,,Jon Powell,13.51.32,0.41.32,0.959,0.39.50,
8,8.0,GBR6508T,Banter,Mustang 30 Mk 2,,Handley James Families,13.56.10,0.46.10,0.906,0.41.50,
9,9.0,GBR585T,2XS,X-99,,Aindriu McCormack,13.54.26,0.44.26,0.959,0.42.37,
10,10.0,GBR5189T,Jronimo,J92,,David Greenhalgh,13.55.53,0.45.53,0.958,0.43.57,
11,11.0,GBR6896T,ERIK the RED,Mustang 30 Mark2,,Bernard Patrick Fyans,13.58.49,0.48.49,0.906,0.44.14,
12,12.0,GBR8788,Theseus,1/4 Ton,,Jim Prower,13.52.16,0.42.16,2.000,1.24.32,
13,16.0,FRA8214,Protis,1/4 tonner,,Team Hamble,,DNC,2.000,,
13,16.0,GBR7696T,Memory Maker,First 31.7,,Don Forster,,DNC,0.941,,
13,16.0,FRA8051,,1/4 Ton,,Sam Laidlaw,,DNC,0.903,,
